playerid,Name,Team,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%,BsR,Spd,BB%+,K%+,Oppo%+,EV,maxEV,xwOBA,Total Z-Score
16337,Nick Gordon,MIN,0.03,-0.45,0.0,0.17,0.4,0.29,0.11,0.41,-0.19,0.63,-1.31,0.29,0.36,0.91,-0.02,0.68,2.31
6153,Eduardo Escobar,NYM,0.73,0.76,-0.85,0.32,0.21,0.02,0.66,0.41,1.02,-0.41,-0.33,0.21,-0.75,-0.16,0.26,0.13,2.22
17901,Andrew Benintendi,- - -,0.58,-0.89,0.29,0.78,0.83,0.87,-1.05,-0.65,0.21,0.16,0.73,-1.17,0.88,0.26,-0.33,0.71,2.2
2396,Carlos Santana,- - -,0.47,0.65,-0.85,-0.03,0.05,-0.06,0.48,0.38,0.34,-1.63,2.2,-0.77,-1.51,0.96,0.19,1.23,2.12
12325,Jace Peterson,MIL,-0.77,-0.56,0.86,0.09,-0.18,-0.12,-0.18,-0.13,1.71,1.61,0.59,0.58,-0.57,-0.02,-0.67,-0.19,2.03
13613,Ketel Marte,ARI,0.84,-0.12,-0.14,-0.13,0.05,0.18,0.22,-0.4,-0.29,0.22,0.53,-0.69,-0.86,0.68,1.47,0.15,1.72
19260,Jake Fraley,CIN,-1.34,-0.12,-0.28,0.36,0.79,1.14,0.97,-0.11,0.53,-0.13,0.76,-0.08,0.42,-1.65,-0.26,0.68,1.69
19600,Bryan De La Cruz,MIA,-0.58,-0.01,-0.28,-0.14,0.13,0.08,0.45,1.03,-0.38,-0.18,-1.02,0.47,-0.34,1.0,0.16,1.31,1.69
18839,Josh Naylor,CLE,0.42,0.76,0.0,0.24,0.63,0.57,0.89,0.21,-1.17,-0.53,-0.1,-0.98,-0.98,0.35,0.78,0.5,1.58
20202,Brandon Marsh,- - -,0.16,-0.23,0.57,-0.37,-0.45,-0.39,-0.24,-0.08,0.83,1.03,-0.68,1.99,0.42,0.26,-0.6,-0.66,1.56
14221,Jorge Soler,MIA,-0.93,-0.01,-0.85,-0.27,-0.1,-0.14,0.68,1.08,-0.25,-1.28,0.62,1.12,-2.03,1.19,2.37,0.36,1.56
11442,Gary Sanchez,MIN,0.23,0.32,-0.56,-0.75,-0.45,-0.55,0.42,1.42,-0.84,-0.88,0.22,1.12,-0.86,0.86,1.51,0.33,1.54
18882,Brandon Lowe,TBR,-1.21,-0.56,-0.71,0.06,0.13,-0.12,0.22,0.63,0.66,0.22,0.82,0.14,0.07,0.35,0.5,0.3,1.53
15998,Cody Bellinger,LAD,0.78,0.65,1.14,-0.6,-0.68,-0.71,0.42,0.14,1.48,1.43,-0.47,0.79,-1.21,0.35,-1.19,-0.92,1.41
14811,Luke Voit,- - -,0.91,0.98,-0.71,-0.51,0.05,0.02,0.4,1.72,-2.02,-1.34,0.48,1.45,-1.16,0.54,0.19,0.36,1.35
15362,Jeff McNeil,NYM,1.06,-0.45,-0.28,2.02,1.63,1.49,-0.53,-1.24,0.66,-0.3,-0.53,-1.93,0.3,-0.81,-0.26,0.39,1.22
23667,Wander Franco,TBR,-0.66,-0.78,0.29,0.55,0.59,0.35,-0.18,-0.77,1.32,1.49,-0.13,-2.04,0.59,-0.62,0.57,0.62,1.18
7304,Salvador Perez,KCR,0.24,1.09,-0.85,-0.07,0.32,0.38,1.18,0.85,-1.04,-1.34,-1.48,0.18,-0.69,1.28,0.61,0.47,1.13
9368,Evan Longoria,SFG,-0.98,0.1,-0.85,0.03,0.56,0.54,0.94,1.15,-0.74,-1.69,0.25,0.87,-0.34,1.14,-0.4,0.42,0.99
19913,Jesus Sanchez,MIA,-0.67,-0.01,-0.71,-0.45,-0.29,-0.33,0.63,0.53,-0.48,0.22,-0.24,0.72,0.59,0.4,1.37,-0.34,0.93
12979,Javier Baez,DET,1.06,0.43,0.43,-0.47,-0.41,-0.52,0.11,0.06,0.83,0.8,-1.28,0.47,0.01,-0.34,0.47,-0.72,0.93
11445,Mark Canha,NYM,0.73,-0.01,-0.42,0.99,1.06,0.89,-0.36,-0.7,-0.32,-0.41,0.19,-0.73,1.0,-0.44,-0.95,0.39,0.9
19955,Gavin Lux,LAD,0.23,-0.78,0.15,0.56,0.48,0.48,-0.59,-0.4,1.06,1.38,0.56,-0.37,-0.81,-0.3,-0.92,0.13,0.86
2136,David Peralta,- - -,0.36,-0.12,-0.71,-0.0,0.13,0.13,0.19,0.19,0.04,-0.76,0.07,0.18,-0.69,0.77,0.78,0.1,0.66
25976,Riley Greene,DET,-0.14,-0.89,-0.71,-0.25,-0.1,-0.2,-0.79,0.38,-0.02,0.22,0.25,1.08,0.71,0.4,0.47,0.18,0.6
14274,Mitch Haniger,SEA,-1.34,-0.23,-0.85,0.02,0.48,0.24,0.66,1.0,-0.29,-1.34,0.07,0.69,-0.69,1.51,0.09,0.53,0.55
21479,Nico Hoerner,CHC,0.55,-0.34,1.99,0.25,0.21,0.27,-0.5,-1.27,0.76,1.49,-0.99,-1.82,1.23,-0.67,-0.36,-0.25,0.55
