"Name","Team","G","GS","IP","SV","xFIP-","SwStr%","F-Strike%","Barrel%","HardHit%","CSW%","K%+","BB%+","xERA","EV","ER","playerid"
"Jake Woodford","STL","27","1","48.1","0","105","8.2%","60.1%","5.3%","36.2%","23.8%","56","71","4.00","88.0","12","18674"
"Alek Manoah","TOR","31","31","196.2","0","101","11.2%","61.7%","5.4%","31.5%","27.5%","103","81","3.31","87.5","49","26410"
"Matt Wisler","TBR","39","5","44.0","1","125","10.8%","64.2%","11.8%","30.7%","27.5%","90","99","3.24","87.5","11","12804"
"Nick Sandlin","CLE","46","0","44.0","0","107","11.8%","53.9%","4.5%","37.5%","27.8%","103","166","3.36","86.5","11","20517"
"Lance McCullers Jr.","HOU","8","8","47.2","0","91","11.1%","53.8%","4.9%","31.7%","29.0%","115","141","3.57","87.7","12","14120"
"Robert Suarez","SDP","45","0","47.2","1","82","11.9%","60.7%","8.6%","34.3%","26.7%","141","133","3.27","88.4","12","30115"
"Clayton Kershaw","LAD","22","22","126.1","0","71","13.9%","68.6%","4.2%","33.2%","31.0%","123","56","2.51","87.1","32","2036"
"Cody Morris","CLE","7","5","23.2","0","106","13.9%","63.0%","12.3%","36.9%","25.2%","104","150","4.94","88.0","6","25388"
"Sandy Alcantara","MIA","32","32","228.2","0","83","12.2%","62.4%","5.2%","38.5%","27.5%","103","68","2.92","87.8","58","18684"
"Max Scherzer","NYM","23","23","145.1","0","81","14.8%","66.4%","8.4%","33.9%","30.8%","135","51","2.87","87.8","37","3137"
"Michael King","NYY","34","0","51.0","1","61","14.4%","63.8%","6.8%","35.9%","34.7%","149","100","2.83","86.2","13","19853"
"Sam Hentges","CLE","57","0","62.0","1","67","13.6%","61.6%","5.3%","35.1%","30.2%","132","97","2.79","88.8","16","18548"
"Shohei Ohtani","LAA","28","28","166.0","0","67","14.9%","60.6%","6.3%","33.2%","31.6%","149","83","2.68","87.1","43","19755"
"Aaron Bummer","CHW","32","0","26.2","2","71","10.1%","53.0%","6.7%","45.3%","31.3%","115","106","3.97","90.2","7","16258"
"Alex Young","- - -","25","1","26.2","0","101","15.5%","62.1%","2.4%","38.6%","29.2%","80","114","3.64","88.9","7","18333"
"Rafael Montero","HOU","71","0","68.1","14","81","11.4%","61.9%","2.9%","32.6%","29.0%","122","106","2.70","86.3","18","12760"
"David Robertson","- - -","58","0","63.2","20","93","14.0%","65.9%","7.6%","37.9%","33.0%","136","160","3.05","88.6","17","8241"
"Tommy Hunter","NYM","18","0","22.1","0","99","11.2%","70.2%","13.6%","45.5%","24.9%","103","77","4.53","90.6","6","1157"
"JT Chargois","TBR","21","3","22.1","0","98","10.5%","67.4%","6.5%","37.1%","29.6%","89","72","2.59","87.2","6","13767"
"Nestor Cortes","NYY","28","28","158.1","0","92","11.1%","67.3%","5.3%","34.5%","28.3%","119","77","2.70","87.9","43","17874"
"David Price","LAD","40","0","40.1","2","81","8.1%","66.5%","7.4%","38.0%","27.0%","98","65","3.83","89.5","11","3184"
"Stephen Nogosek","NYM","12","0","22.0","0","113","9.3%","62.1%","7.6%","37.9%","23.3%","98","89","3.89","89.5","6","19545"
"Jeffrey Springs","TBR","33","25","135.1","0","83","13.5%","64.1%","5.9%","37.3%","29.8%","118","70","3.27","87.5","37","17677"
"Raisel Iglesias","- - -","67","0","62.0","17","76","16.5%","60.6%","10.6%","33.8%","32.6%","142","70","3.10","87.3","17","17130"
"Max Fried","ATL","30","30","185.1","0","78","12.0%","61.5%","4.0%","31.9%","27.5%","103","53","2.85","86.2","51","13743"
"Jimmy Herget","LAA","49","1","69.0","9","88","11.1%","62.4%","6.5%","36.2%","30.6%","107","70","2.92","88.1","19","17556"
"Andres Munoz","SEA","64","0","65.0","4","51","21.6%","68.1%","5.3%","36.1%","35.6%","174","75","1.84","86.2","18","20373"
"Hunter Harvey","WSN","38","0","39.1","0","85","12.0%","62.4%","5.0%","44.0%","28.4%","127","92","2.76","90.4","11","15507"
"Camilo Doval","SFG","68","0","67.2","27","77","13.7%","53.5%","4.6%","36.4%","29.6%","124","127","2.90","85.9","19","21992"
"Jorge Lopez","- - -","67","0","71.0","23","93","10.9%","62.1%","4.8%","33.0%","29.7%","109","130","3.31","87.3","20","14527"
"Scott Effross","- - -","60","1","56.2","4","80","10.4%","65.9%","4.0%","37.1%","31.2%","120","80","2.51","87.3","16","18384"
"Cristian Javier","HOU","30","25","148.2","0","89","13.8%","55.9%","7.2%","33.3%","28.3%","149","111","2.43","88.4","42","17606"
"Shane McClanahan","TBR","28","28","166.1","0","65","15.5%","62.7%","6.4%","32.5%","32.8%","136","74","2.79","87.6","47","21483"
"Zac Gallen","ARI","31","31","184.0","0","83","10.1%","64.6%","7.8%","36.1%","27.8%","119","79","3.17","87.8","52","19291"
"Clay Holmes","NYY","62","0","63.2","20","73","12.6%","55.4%","1.8%","42.8%","30.4%","113","96","2.41","89.0","18","13649"
"Tyler Anderson","LAD","30","28","178.2","0","103","11.8%","66.1%","4.9%","28.5%","28.1%","86","58","3.10","85.0","51","12880"
"Wily Peralta","DET","28","1","38.1","0","122","8.4%","57.1%","4.5%","38.7%","25.4%","86","178","4.14","88.8","11","7738"
"Collin McHugh","ATL","58","0","69.1","0","82","12.6%","65.1%","5.1%","30.9%","28.7%","122","62","3.05","86.6","20","7531"
"Jaime Barria","LAA","35","1","79.1","0","112","10.8%","68.4%","10.0%","35.8%","26.4%","77","75","4.11","88.3","23","18356"
"David Bednar","PIT","45","0","51.2","19","71","15.3%","60.0%","7.3%","46.0%","31.5%","145","92","3.22","90.5","15","19569"
"Chase De Jong","PIT","42","0","71.2","1","124","10.6%","59.7%","8.5%","39.2%","26.9%","89","123","3.89","88.4","21","15036"
"Spencer Strider","ATL","31","20","131.2","0","58","15.5%","60.2%","6.1%","36.0%","31.1%","169","103","2.39","88.0","39","27498"
"Lucas Luetge","NYY","50","0","57.1","2","100","12.2%","58.2%","5.3%","22.9%","28.5%","108","84","3.57","85.2","17","8337"
"Paul Sewald","SEA","65","0","64.0","20","91","14.9%","60.7%","9.4%","33.6%","31.2%","134","88","2.64","86.3","19","13892"
"Brooks Raley","TBR","60","0","53.2","6","83","11.7%","63.5%","2.2%","28.5%","30.1%","125","85","2.79","86.7","16","10061"
"Trevor Stephan","CLE","66","0","63.2","3","71","16.2%","64.4%","3.1%","34.4%","31.5%","138","84","2.34","87.5","19","19932"
"Wandy Peralta","NYY","56","0","56.1","4","91","16.3%","58.7%","4.4%","31.6%","27.8%","95","95","2.66","85.5","17","14295"
"Connor Overton","CIN","6","4","33.0","0","124","6.0%","62.9%","3.0%","41.4%","25.4%","50","107","3.41","90.2","10","18376"
"Reynaldo Lopez","CHW","61","1","65.1","0","83","13.9%","61.4%","5.0%","38.5%","29.3%","112","54","2.92","89.4","20","16400"
"Carl Edwards Jr.","WSN","57","0","62.0","2","102","10.7%","61.3%","4.6%","35.6%","27.0%","97","118","3.31","87.7","19","13607"
"Zach Pop","- - -","35","0","39.0","0","87","8.2%","61.1%","5.6%","45.2%","25.0%","71","31","3.36","88.2","12","20185"
"Dylan Coleman","KCR","68","0","68.0","0","111","13.1%","54.3%","6.9%","36.6%","28.5%","111","160","3.78","86.4","21","22276"
"Brad Hand","PHI","55","0","45.0","5","122","7.3%","56.1%","5.3%","26.7%","28.8%","85","140","4.40","87.2","14","9111"
"Adam Cimber","TOR","77","0","70.2","4","98","9.0%","64.8%","5.1%","38.8%","26.8%","89","55","3.64","89.1","22","15288"
"Jalen Beeks","TBR","42","7","61.0","2","82","14.0%","64.8%","8.3%","37.2%","28.9%","126","110","3.70","86.7","19","17192"
"Liam Hendriks","CHW","58","0","57.2","37","66","18.2%","63.4%","9.1%","39.4%","32.8%","163","85","2.59","90.5","18","3548"
"Framber Valdez","HOU","31","31","201.1","0","76","11.3%","59.3%","5.8%","41.4%","28.8%","106","101","3.31","89.8","63","17295"
"Zack Wheeler","PHI","26","26","153.0","0","77","11.4%","67.2%","7.7%","34.5%","27.7%","119","68","3.10","85.7","48","10310"
"Andrew Chafin","DET","64","0","57.1","3","83","13.9%","63.4%","8.4%","33.8%","30.0%","124","97","2.92","87.5","18","12988"
"David Phelps","TOR","65","1","63.2","1","108","6.9%","59.9%","5.2%","34.7%","26.9%","106","142","3.91","88.4","20","6316"
"Peter Strzelecki","MIL","30","0","35.0","1","95","12.4%","62.2%","7.6%","38.0%","30.6%","119","122","3.39","88.1","11","21367"
"Jose Leclerc","TEX","39","0","47.2","7","111","17.4%","65.2%","6.7%","32.5%","29.8%","123","132","3.17","86.6","15","14524"
"Drew Rasmussen","TBR","28","28","146.0","0","90","12.1%","62.7%","6.6%","37.9%","25.9%","96","66","3.46","88.9","46","25385"
"Joe Mantiply","ARI","69","0","60.0","2","64","14.2%","63.0%","4.0%","37.0%","32.6%","111","30","3.22","86.5","19","14857"
"Shane Bieber","CLE","31","31","200.0","0","75","13.8%","66.0%","7.2%","42.9%","31.4%","113","57","3.51","89.9","64","19427"
"Carlos Rodon","SFG","31","31","178.0","0","73","14.1%","61.5%","6.5%","39.7%","30.6%","148","88","2.64","89.0","57","16137"
"Martin Perez","TEX","32","32","196.1","0","96","8.4%","62.6%","4.3%","34.5%","27.2%","93","105","3.59","88.2","63","6902"
"Logan Webb","SFG","32","32","192.1","0","83","10.6%","65.3%","5.5%","38.9%","29.3%","92","75","3.59","88.9","62","17995"
"Patrick Sandoval","LAA","27","27","148.2","0","93","13.3%","58.0%","5.7%","33.9%","29.2%","107","117","3.91","87.3","48","19447"
"Sam Moll","OAK","53","0","43.1","0","103","9.8%","50.8%","5.2%","35.3%","29.2%","111","147","2.96","87.6","14","14874"
"Erasmo Ramirez","WSN","60","2","86.1","0","99","10.3%","64.8%","4.9%","35.7%","26.1%","78","49","3.49","88.7","28","10314"
"Mason Thompson","WSN","24","0","24.2","1","114","10.3%","58.4%","3.9%","32.9%","24.5%","66","107","3.72","86.1","8","21850"
"Jose Quintana","- - -","32","32","165.2","0","93","10.6%","61.4%","5.5%","35.8%","25.3%","89","83","3.86","86.5","54","11423"
"Joe Musgrove","SDP","30","30","181.0","0","87","11.0%","64.5%","6.0%","32.4%","30.8%","110","68","3.27","86.4","59","12970"
"Corbin Burnes","MIL","33","33","202.0","0","72","15.1%","58.0%","5.7%","34.1%","32.1%","135","77","3.05","87.2","66","19361"
"Nabil Crismatt","SDP","50","1","67.1","0","87","11.6%","58.6%","5.2%","36.1%","30.0%","103","95","3.49","87.7","22","17732"
"Brad Boxberger","MIL","70","0","64.0","1","102","9.5%","66.0%","6.4%","33.9%","30.7%","112","122","3.44","86.4","21","10133"
