Key,Value
1-1,0.5
1-2,0.455
2-1,0.455
1-3,0.366
3-1,0.366
1-4,0.295
4-1,0.295
1-5,0.203
5-1,0.203
1-6,0.294
6-1,0.294
1-7,0.143
7-1,0.143
1-8,0.215
8-1,0.215
1-9,0.094
9-1,0.094
1-10,0.125
10-1,0.125
1-11,0.444
11-1,0.444
1-12,0.0
12-1,0.0
1-13,0.0
13-1,0.0
1-14,0.0
14-1,0.0
1-15,0.0
15-1,0.0
1-16,0.013
16-1,0.013
2-2,0.5
2-3,0.394
3-2,0.394
2-4,0.5
4-2,0.5
2-5,0.75
5-2,0.75
2-6,0.278
6-2,0.278
2-7,0.304
7-2,0.304
2-8,0.6
8-2,0.6
2-9,0.333
9-2,0.333
2-10,0.359
10-2,0.359
2-11,0.158
11-2,0.158
2-12,0.0
12-2,0.0
2-13,0.0
13-2,0.0
2-14,0.0
14-2,0.0
2-15,0.072
15-2,0.072
2-16,0.0
16-2,0.0
3-3,0.5
3-4,0.444
4-3,0.444
3-5,0.5
5-3,0.5
3-6,0.417
6-3,0.417
3-7,0.368
7-3,0.368
3-8,0.0
8-3,0.0
3-9,0.25
9-3,0.25
3-10,0.308
10-3,0.308
3-11,0.333
11-3,0.333
3-12,0.0
12-3,0.0
3-13,0.0
13-3,0.0
3-14,0.145
14-3,0.145
3-15,0.333
15-3,0.333
3-16,0.0
16-3,0.0
4-4,0.5
4-5,0.427
5-4,0.427
4-6,0.667
6-4,0.667
4-7,0.667
7-4,0.667
4-8,0.615
8-4,0.615
4-9,0.6
9-4,0.6
4-10,0.0
10-4,0.0
4-11,0.0
11-4,0.0
4-12,0.211
12-4,0.211
4-13,0.209
13-4,0.209
4-14,0.0
14-4,0.0
4-15,0.0
15-4,0.0
4-16,0.0
16-4,0.0
5-5,0.5
5-6,0.0
6-5,0.0
5-7,0.0
7-5,0.0
5-8,0.75
8-5,0.75
5-9,0.6
9-5,0.6
5-10,0.0
10-5,0.0
5-11,0.0
11-5,0.0
5-12,0.15
12-5,0.15
5-13,0.158
13-5,0.158
5-14,0.0
14-5,0.0
5-15,0.0
15-5,0.0
5-16,0.0
16-5,0.0
6-6,0.0
6-7,0.333
7-6,0.333
6-8,0.75
8-6,0.75
6-9,0.0
9-6,0.0
6-10,0.4
10-6,0.4
6-11,0.372
11-6,0.372
6-12,0.0
12-6,0.0
6-13,0.0
13-6,0.0
6-14,0.125
14-6,0.125
6-15,0.0
15-6,0.0
6-16,0.0
16-6,0.0
7-7,0.0
7-8,0.5
8-7,0.5
7-9,0.0
9-7,0.0
7-10,0.394
10-7,0.394
7-11,1.0
11-7,1.0
7-12,0.0
12-7,0.0
7-13,0.0
13-7,0.0
7-14,0.0
14-7,0.0
7-15,0.667
15-7,0.667
7-16,0.0
16-7,0.0
8-8,0.0
8-9,0.489
9-8,0.489
8-10,0.0
10-8,0.0
8-11,0.0
11-8,0.0
8-12,1.0
12-8,1.0
8-13,0.0
13-8,0.0
8-14,0.0
14-8,0.0
8-15,0.0
15-8,0.0
8-16,0.0
16-8,0.0
9-9,0.0
9-10,0.0
10-9,0.0
9-11,1.0
11-9,1.0
9-12,0.0
12-9,0.0
9-13,0.0
13-9,0.0
9-14,0.0
14-9,0.0
9-15,0.0
15-9,0.0
9-16,0.0
16-9,0.0
10-10,0.0
10-11,0.5
11-10,0.5
10-12,0.0
12-10,0.0
10-13,0.0
13-10,0.0
10-14,0.0
14-10,0.0
10-15,0.0
15-10,0.0
10-16,0.0
16-10,0.0
11-11,0.5
11-12,0.0
12-11,0.0
11-13,0.0
13-11,0.0
11-14,0.0
14-11,0.0
11-15,0.0
15-11,0.0
11-16,0.0
16-11,0.0
12-12,0.25
12-13,0.25
13-12,0.25
12-14,0.0
14-12,0.0
12-15,0.0
15-12,0.0
12-16,0.0
16-12,0.0
13-13,0.5
13-14,0.0
14-13,0.0
13-15,0.0
15-13,0.0
13-16,0.0
16-13,0.0
14-14,0.5
14-15,0.0
15-14,0.0
14-16,0.0
16-14,0.0
15-15,0.0
15-16,0.0
16-15,0.0
16-16,0.5
