name,team,position,adp,olinerank,sosrank,playerscore
Sean Tucker,TB,RB115,416,26,8,450
Kevin Harris,NE,RB111,403,24,27,454
Luke Schoonmaker,DAL,TE63,426,11,20,457
Trayveon Williams,CIN,RB118,435,12,11,458
Kenny McIntosh,SEA,RB117,423,27,11,461
Lucas Krull,DEN,TE60,421,22,19,462
Nick WestbrookIkhine,TEN,WR143,419,25,18,462
Riley Patterson,WAS,K31,429,20,14,463
Braxton Berrios,MIA,WR151,443,14,7,464
Dyami Brown,WAS,WR146,430,20,14,464
KhaDarel Hodge,ATL,WR154,454,10,1,465
Jaheim Bell,NE,TE59,415,24,27,466
Robert Tonyan,MIN,TE65,436,9,21,466
Terrace Marshall Jr,CAR,WR149,438,21,7,466
Cam Little,JAC,K30,422,26,19,467
Graham Gano,NYG,K29,418,26,23,467
Cody Schrader,SF,RB120,439,9,19,467
Josh Whyle,TEN,TE62,425,25,18,468
Casey Washington,ATL,WR155,457,10,1,468
Kendall Milton,PHI,RB126,456,2,10,468
Nick Mullens,MIN,QB45,442,9,21,472
Sione Vaki,DET,RB124,449,2,21,472
Jamari Thrash,CLE,WR147,432,9,31,472
Xavier Hutchinson,HOU,WR145,428,19,27,474
Tyler Goodson,IND,RB125,455,10,9,474
Durham Smythe,MIA,TE67,453,14,7,474
Boston Scott,LAR,RB122,447,9,19,475
Tyrod Taylor,NYJ,QB47,452,13,11,476
Malik Davis,DAL,RB121,445,11,20,476
Dillon Johnson,CAR,RB123,448,21,7,476
Nick Folk,TEN,K32,434,25,18,477
Jalen Brooks,DAL,WR153,446,11,20,477
Frank Gore Jr,BUF,RB119,437,16,24,477
Derius Davis,LAC,WR156,458,17,3,478
Joshua Dobbs,SF,QB46,451,9,19,479
Darnell Washington,PIT,TE61,424,26,31,481
Irv Smith Jr,KC,TE68,464,4,13,481
Elijah Higgins,ARI,TE66,450,23,12,485
Mac Jones,JAC,QB44,441,26,19,486
Alec Ingold,MIA,RB128,466,14,7,487
Trent Sherfield Sr,MIN,WR157,459,9,21,489
Brett Maher,FA,K33,490,0,0,490
Charlie Jones,CIN,WR162,467,12,11,490
Quez Watkins,PIT,WR148,433,26,31,490
Tyquan Thornton,NE,WR150,440,24,27,491
Isaiah McKenzie,NYG,WR152,444,26,23,493
Cornelius Johnson,LAC,WR168,474,17,3,494
Will Mallory,IND,TE69,476,10,9,495
DeeJay Dallas,ARI,RB127,462,23,12,497
Spencer Rattler,NO,QB48,469,25,3,497
Chris Moore,ARI,WR160,463,23,12,498
Ryan Flournoy,DAL,WR163,468,11,20,499
Olamide Zaccheaus,WAS,WR161,465,20,14,499
Emeka Egbuka,FA,WR177,501,0,0,501
Bub Means,NO,WR167,473,25,3,501
Kyle Philips,TEN,WR158,460,25,18,503
Kene Nwangwu,MIN,RB129,475,9,21,505
Carson Steele,KC,RB134,488,4,13,505
Jamison Crowder,WAS,WR166,472,20,14,506
Justyn Ross,KC,WR175,493,4,13,510
Allen Robinson II,NYG,WR159,461,26,23,510
Anthony Gould,IND,WR174,492,10,9,511
Cole Turner,WAS,TE70,478,20,14,512
Louis ReesZammit,KC,RB136,495,4,13,512
Daurice Fountain,DET,WR173,489,2,21,512
Carson Wentz,KC,QB50,497,4,13,514
Zach Evans,LAR,RB133,486,9,19,514
Jalen Guyton,LV,WR165,471,20,24,515
Leonard Fournette,FA,RB145,517,0,0,517
Emanuel Wilson,GB,RB131,480,15,23,518
Josh Crockett,FA,WR181,519,0,0,519
Isaiah Hodgins,NYG,WR164,470,26,23,519
Hassan Haskins,TEN,RB130,477,25,18,520
Jordan Akins,CLE,TE71,481,9,31,521
Avery Williams,ATL,RB142,510,10,1,521
Mo AlieCox,IND,TE74,503,10,9,522
David Bell,CLE,WR170,483,9,31,523
Zach Wilson,DEN,QB49,482,22,19,523
Laviska Shenault Jr,SEA,WR171,485,27,11,523
Devin Duvernay,JAC,WR169,479,26,19,524
Joe Parker,FA,WR185,528,0,0,528
James Robinson,NO,RB138,500,25,3,528
Keilan Robinson,JAC,RB132,484,26,19,529
AJ Barner,SEA,TE72,494,27,11,532
Chris Brooks,MIA,RB143,512,14,7,533
Raheem Blackshear,CAR,RB140,506,21,7,534
Hunter Luepke,DAL,RB139,504,11,20,535
Patrick Ricard,BAL,RB135,491,16,30,537
Tip Reiman,ARI,TE73,502,23,12,537
JhaQuan Jackson,TEN,WR176,496,25,18,539
Tennessee Titans,TEN,DST31,498,25,18,541
Brock Wright,DET,TE77,518,2,21,541
Charlie Woerner,ATL,TE81,532,10,1,543
Equanimeous St Brown,NO,WR180,515,25,3,543
Scotty Miller,PIT,WR172,487,26,31,544
Arizona Cardinals,ARI,DST32,509,23,12,544
Khari Blasingame,CHI,RB149,527,14,3,544
Myles Gaskin,MIN,RB144,514,9,21,544
Dare Ogunbowale,HOU,RB137,499,19,27,545
George Holani,SEA,RB141,508,27,11,546
Dante Pettis,CHI,WR186,530,14,3,547
Carlos Washington Jr,ATL,RB151,537,10,1,548
Devaughn Vele,DEN,WR179,507,22,19,548
Pharaoh Brown,SEA,TE75,511,27,11,549
Jalen Coker,CAR,WR182,522,21,7,550
Deonte Harty,BAL,WR178,505,16,30,551
Bryson Nesbit,FA,TE87,556,0,0,556
Jaxon Janke,FA,WR195,558,0,0,558
Dallin Holker,NO,TE80,531,25,3,559
Mason Rudolph,TEN,QB51,516,25,18,559
Zach Pascal,ARI,WR183,525,23,12,560
Richie James Jr,FA,WR196,560,0,0,560
Zonovan Knight,DET,RB152,538,2,21,561
Darrell Henderson Jr,FA,RB162,563,0,0,563
Harrison Bryant,LV,TE78,520,20,24,564
Trey Lance,DAL,QB52,534,11,20,565
Michael Burton,DEN,RB148,524,22,19,565
Adam Prentice,NO,RB153,539,25,3,567
Ian Thomas,CAR,TE84,540,21,7,568
Drew Sample,CIN,TE85,547,12,11,570
Connor Heyward,PIT,TE76,513,26,31,570
Demetric Felton Jr,IND,RB157,553,10,9,572
Simi Fehoko,LAC,WR193,552,17,3,572
CJ Ham,MIN,RB154,543,9,21,573
Ihmir SmithMarsette,CAR,WR190,545,21,7,573
Emani Bailey,KC,RB159,557,4,13,574
JaMycal Hasty,NE,RB147,523,24,27,574
Lawrence Cager,NYG,WR184,526,26,23,575
Xavier Weaver,ARI,WR187,541,23,12,576
Isaiah Williams,DET,WR194,554,2,21,577
Sterling Shepard,TB,WR189,544,26,8,578
Daijun Edwards,PIT,RB146,521,26,31,578
Luke Farrell,JAC,TE82,535,26,19,580
Dante Miller,NYG,RB150,533,26,23,582
Marcus RosemyJacksaint,WAS,WR191,548,20,14,582
Deon Jackson,NYJ,RB160,559,13,11,583
LilJordan Humphrey,DEN,WR188,542,22,19,583
Patrick Taylor Jr,SF,RB158,555,9,19,583
Jack Stoll,NYG,TE83,536,26,23,585
Reggie Gilliam,BUF,RB155,546,16,24,586
MyCole Pruitt,PIT,TE79,529,26,31,586
Grant DuBose,GB,WR192,549,15,23,587
Nick Vannett,TEN,TE86,551,25,18,594
Michael Wiley,WAS,RB161,562,20,14,596
LaMical Perine,PIT,RB156,550,26,31,607
Kayshon Boutte,NE,WR197,561,24,27,612
