oline1rank,team
1,DEN
2,PHI
3,TB
4,IND
5,BUF
6,CHI
7,ATL
8,SF
9,LAR
10,NYG
11,NO
12,LAC
13,BAL
14,DET
15,SEA
16,PIT
17,NYJ
18,NE
19,DAL
20,MIN
21,KC
22,ARI
23,WAS
24,LV
25,CIN
26,CAR
27,MIA
28,GB
29,JAC
30,HOU
31,CLE
32,TEN
