player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Cody Sedlock,642060,R,71,1,71.9,104,95.8
Kyle Hendricks,543294,R,1346,16,71.9,103,93.7
Zack Britton,502154,L,39,3,71.9,46.6,54.6
Dallas Keuchel,572971,L,1163,14,71.7,98.2,92.3
Alec Mills,621219,R,302,7,71,101.2,91.1
Anderson Espinoza,659262,R,319,6,68.6,81.3,75.9
Brian Moran,572383,L,25,1,66.6,116.2,82
Yennier Cano,666974,R,393,13,66.3,98.7,89.2
Brian Serven,661531,R,8,1,65.9,61.1,80.7
Cesar Valdez,491624,R,16,1,63.9,103.8,78.4
Brendon Little,663893,L,22,1,63.5,78.9,86.8
Ty Blach,621389,L,673,24,62.9,105.4,89.8
Alex Claudio,592222,L,50,3,60.3,98.3,96.3
Tommy Romero,676720,R,191,4,59.6,91.1,78.6
Hanser Alberto,593643,R,16,1,56.1,82.6,82.3
Reese McGuire,624512,R,7,1,56.1,93.2,125.8
Tucker Barnhart,571466,R,1,1,49.9,49.9,59.2
Christian Bethancourt,542194,R,25,3,49.6,99.5,100.5
Luis Torrens,620443,R,1,1,48.8,50.2,53.3
Alcides Escobar,444876,R,9,2,48.1,84.3,81.6
Andrew Knizner,668800,R,11,1,46.6,107,105
Harold Castro,605612,R,11,1,44.7,71.6,57.5
Marwin Gonzalez,503556,R,2,1,41,91.7,81.5
Ryan McKenna,663630,R,16,1,40.3,68.6,64.8
Orlando Arcia,606115,R,10,1,36,65.2,104.1
Austin Wynns,642851,R,20,2,28.6,66.6,72.1
Albert Pujols,405395,R,8,1,25.1,61.2,-68.4
Jack Mayfield,608686,R,13,1,19.4,100.6,83
Matthew Batten,676946,R,9,1,3.8,83.8,30.7
Charlie Culberson,518586,R,1,1,2.1,112,172
Randal Grichuk,545341,R,10,1,-2.3,67,121.6
Carson Kelly,608348,R,35,2,-6.3,87.2,56.8
Garrett Stubbs,596117,R,19,1,-7.5,62,81.1
Corey Dickerson,572816,R,18,1,-22.2,66.9,49.5
Hunter Dozier,641531,R,23,1,-26.8,78.8,75.6
Nick Gordon,624503,R,19,1,-40.1,75.5,23.2
Nicky Lopez,670032,R,4,1,-46.4,49.1,49.8
Michael A. Taylor,572191,R,28,1,-50.2,83.1,42.2
Diego Castillo,660636,R,1,1,-63,45,56
Kody Clemens,665019,R,16,1,-63.4,58.7,51.6
Matt Reynolds,608703,R,1,1,-97,42.6,53
Yadier Molina,425877,R,27,2,-134.4,87,32.6
Josh Harrison,543281,R,7,3,-178.9,85.1,-29.9
Andrelton Simmons,592743,R,4,1,-189.3,69.1,-19.4
Wil Myers,571976,R,7,2,-258.4,121.5,29.6
Whit Merrifield,593160,R,1,1,-910.5,-41.1,-532.4
Yu Chang,644374,R,1,1,-918,124.7,-158.9
