player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Chris Ellis,595939,R,83,2,96.1,84.7,88.6
Duane Underwood Jr.,621249,R,1004,51,96.1,98.6,96.9
Joe Smith,501925,R,450,34,96.1,100.5,94.2
Kirk McCarty,668948,L,574,13,96.1,101,101.3
Tommy Hunter,488984,R,349,18,96.1,108.6,101.7
Beau Brieske,689225,R,1287,15,95.9,101.6,101.2
Jake Fishman,670288,L,171,7,95.9,103.3,101.8
Merrill Kelly,518876,R,3061,33,95.9,104.8,101.8
Chase Silseth,681217,R,501,7,95.8,99.3,100.6
Josh Winckowski,670174,R,1194,15,95.8,99.9,98.4
Zack Kelly,677161,R,222,13,95.8,96.5,93.9
Caleb Ferguson,657571,L,577,37,95.7,99.6,99.6
Max Fried,608331,L,2877,31,95.7,100.5,102
Blake Taylor,642130,L,305,19,95.6,89.9,91.9
Jose Butto,676130,R,98,1,95.6,101.1,100.5
Wade Miley,489119,L,566,9,95.6,105.6,100.3
Bennett Sousa,656986,L,365,25,95.5,96.5,94
Blake Treinen,595014,R,94,6,95.5,101.8,108
Daniel Norris,596057,L,1010,41,95.3,92.5,94.7
Louie Varland,686973,R,411,5,95.3,103.7,101.8
Nick Nelson,656793,R,1230,48,95.3,94.3,94.3
Pablo Lopez,641154,R,2870,32,95.3,103.2,101.4
Brayan Bello,678394,R,997,13,95.2,98.5,98
Dauri Moreta,664294,R,606,35,95.2,97.8,95.2
Ryan Borucki,621366,L,413,32,95.2,92.3,95.1
Aaron Brooks,605156,R,154,5,95.1,97.8,95.1
Kodi Whitley,676831,R,268,14,95.1,96.6,97.7
Touki Toussaint,657053,R,431,8,95.1,90.1,90
Lucas Gilbreath,656458,L,796,47,95,89.8,93.8
Robbie Ray,592662,L,3106,35,95,99.6,98.5
Vladimir Gutierrez,661269,R,684,10,95,99.1,95.3
Chris Martin,455119,R,885,62,94.9,109.1,104.4
Jarlin Garcia,606424,L,1002,58,94.9,100.1,97.8
Jose Castillo,620454,L,16,1,94.9,101.9,102.3
Luke Weaver,596133,R,703,25,94.9,102.2,100.6
Matt Manning,666159,R,989,12,94.9,100.5,98.4
Mitch White,669952,R,1715,25,94.9,98.9,98.4
Kirby Yates,489446,R,137,9,94.6,96.7,95.8
Patrick Sandoval,663776,L,2419,27,94.5,98.3,99
Cade Cavalli,676917,R,99,1,94.4,90.1,90.3
Sam Long,669674,L,733,28,94.4,97.2,99.2
Chi Chi Gonzalez,592346,R,376,7,94.2,102.5,100.3
Nick Martinez,607259,R,1855,54,94.2,101.8,101
Thomas Szapucki,663378,L,289,11,94.2,95.9,95.6
Aaron Bummer,607481,L,457,32,94.1,93.6,92.4
Drew VerHagen,572403,R,419,19,94.1,92.9,96.8
German Marquez,608566,R,2825,31,94.1,99.7,97.6
Jeff Hoffman,656546,R,845,35,94.1,92,91.7
Joan Adon,672851,R,1187,14,94.1,95.5,91.9
Junior Fernandez,658551,R,333,16,94.1,93.1,94
Ryan Tepera,572193,R,856,58,94.1,98.7,97.2
Anthony DeSclafani,543101,R,329,5,94,99.7,98.9
Dean Kremer,665152,R,1947,22,94,101.1,98.6
Eduard Bazardo,660825,R,236,12,94,99.4,97.2
Sean Doolittle,448281,L,55,6,94,107.7,108.1
Alex Cobb,502171,R,2415,28,93.9,101.5,101.2
Chris Mazza,607391,R,135,2,93.9,82.4,88.4
Michael Lorenzen,547179,R,1648,18,93.9,98.9,97.4
Nick Neidert,663734,R,82,1,93.9,105.9,107.3
Norge Ruiz,650204,R,366,14,93.9,98.8,96.9
Alex Faedo,656412,R,967,12,93.8,96.2,93.9
Huascar Brazoban,623211,R,631,27,93.7,94.7,91.7
Luis Perdomo,606131,R,285,14,93.7,100.6,102.2
Nabil Crismatt,622503,R,1061,50,93.7,101.1,100.8
Robert Gsellman,607229,R,207,8,93.7,104.8,100.4
Braxton Garrett,666129,L,1426,17,93.5,100.9,97.7
Eric Lauer,641778,L,2663,29,93.5,100.1,97.5
Chris Flexen,623167,R,2202,33,93.4,97.8,94.3
Davis Martin,663436,R,1031,14,93.4,100.8,101
Domingo Acevedo,642758,R,1005,70,93.4,102.3,98.7
Enyel De Los Santos,660853,R,880,52,93.4,100.7,98.6
Kyle Gibson,502043,R,2780,33,93.4,103.1,98.5
Steve Cishek,518553,R,1171,69,93.4,96.2,99.1
Justin Bruihl,677865,L,341,24,93.3,100.6,99
Archie Bradley,605151,R,298,21,93.2,98.6,95.5
Luke Farrell,608652,R,285,6,93.2,92.1,91.9
R.J. Alvarez,571439,R,51,1,93.2,94.7,95.9
Yoan Lopez,661255,R,194,8,93.2,95.7,94.7
Daniel Mengden,596043,R,119,5,93.1,105.3,101.6
Oliver Ortega,661383,R,565,27,93.1,96.7,97.5
Tyler Anderson,542881,L,2660,31,93.1,104.8,100.9
Andrew Chafin,605177,L,898,64,93,98.7,97
Jeffrey Springs,605488,L,2148,33,93,104.7,103.9
Ryan Burr,621114,R,149,8,93,99.7,94.7
Steven Brault,643230,L,157,9,93,91.1,88.8
Caleb Smith,592761,L,1232,44,92.9,98.5,96.8
Cristopher Sanchez,650911,L,662,15,92.9,96.1,97
David Phelps,475479,R,1149,65,92.9,97.1,94.7
Dinelson Lamet,659275,R,583,32,92.9,89.7,91.9
Aaron Sanchez,592717,R,1003,15,92.8,101.6,97.9
Brent Suter,608718,L,1070,54,92.8,99.4,98.3
Casey Lawrence,596271,R,297,6,92.8,103.2,102.3
Michael Grove,675627,R,472,7,92.8,101.8,99.2
Gerardo Reyes,622103,R,47,2,92.7,101.1,100.8
Noe Ramirez,598287,R,833,55,92.6,99,97.6
Chasen Shreve,592741,L,472,25,92.5,101,100.2
Mychal Givens,571710,R,1045,61,92.5,97.3,99.2
Pedro Avila,658648,R,70,2,92.5,98.8,104.3
Sean Newcomb,656794,L,508,19,92.5,95,91.3
Carlos Carrasco,471911,R,2404,29,92.3,105,102
Easton McGee,668834,R,46,1,92.3,97.8,93.5
Austin Voth,608723,R,1760,41,92.2,103.2,101.7
Jhonathan Diaz,646242,L,236,4,92.2,81.4,81.1
Bryan Garcia,650530,R,317,4,92.1,92.3,87.8
Jake Reed,596082,R,306,18,92.1,93.9,92.8
Brad Boxberger,502202,R,1090,70,92,99,96.4
Logan Gillaspie,670810,R,262,17,92,98.6,100.1
Will Vest,676684,R,1083,59,92,100.4,99.4
Javier Assad,665871,R,690,9,91.9,99.1,95.5
Luis Cessa,570666,R,1219,45,91.8,103,99.3
Nick Vespi,663989,L,446,25,91.8,97.6,96.6
Dillon Tate,622253,R,1067,66,91.7,102.6,99.2
Ryan Hendrix,641682,R,143,9,91.7,84.6,86.2
Brad Hand,543272,L,917,62,91.6,93.4,92.3
Sam Howard,607572,L,58,3,91.6,79.2,85.2
Wily Peralta,503449,R,693,28,91.6,95.4,93.7
Alex Wood,622072,L,2220,26,91.5,101.7,98.7
Josh Winder,680739,R,1114,15,91.5,99.9,98.1
Lucas Giolito,608337,R,2752,30,91.5,100.1,97.9
Reiver Sanmartin,665665,L,1020,44,91.5,102,97.8
Rony Garcia,665621,R,883,16,91.5,99.4,99.1
Tyler Beede,595881,R,1071,31,91.5,95.3,96.1
Hoby Milner,571948,L,1086,67,91.4,101.9,96.8
Nash Walters,663534,R,16,1,91.4,82.4,76.6
Shane Greene,572888,R,50,2,91.4,98.5,94.3
Enoli Paredes,660600,R,57,3,91.2,93.1,99.3
Bryan Hoeing,663773,R,266,8,91.1,101.2,97.5
Denyi Reyes,660593,R,117,3,91.1,109.8,102.1
Drew Smyly,592767,L,1722,21,91.1,106.5,99.9
Marcos Diplan,650959,R,121,5,91.1,93.8,97.9
David Peterson,656849,L,1909,30,91,95.2,93.4
Derek Law,571882,R,352,17,91,98.8,101.5
Michael Wacha,608379,R,1949,23,91,103.5,99.4
Miguel Yajure,664337,R,471,12,91,92.1,90.4
Noah Davis,663562,R,32,1,91,105.8,106
Pedro Baez,520980,R,65,3,91,97.5,89.1
Beau Sulser,676641,R,349,10,90.9,98.4,96.2
Cole Sulser,642121,R,616,39,90.9,100.2,99.4
Zach Plesac,668676,R,2160,26,90.9,100.5,98.6
Eric Stout,657770,L,450,20,90.8,94.1,95.5
Jake McGee,459429,L,629,42,90.8,103.8,98.5
Kyle Nelson,669459,L,592,43,90.8,97.9,99.3
Tarik Skubal,669373,L,1909,21,90.8,101.3,99.2
