"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Ben Skowronek","WR","LAR","2","41","21","25","2","7","5","10","2.1","5.1"
"Rashod Bateman","WR","BAL","3","119","40","56","0","8","6","8","5.9","5.0"
"Terrace Marshall Jr.","WR","CAR","2","116","58","74","0","12","6","12","5.8","5.0"
"Jahan Dotson","WR","WAS","3","175","58","88","0","9","6","9","8.3","4.7"
"Jamal Agnew","WR","JAC","3","68","23","32","3","9","10","12","3.2","4.7"
"JuJu Smith-Schuster","WR","NE","3","140","47","62","0","11","7","11","6.6","4.7"
"Cade Otton","TE","TB","2","135","68","97","0","7","6","7","6.0","4.4"
"Jonathan Mingo","WR","CAR","3","152","51","70","0","13","5","13","6.4","4.2"
"Deven Thompkins","WR","TB","2","50","25","36","2","6","6","8","2.1","4.2"
"Parris Campbell","WR","NYG","3","113","38","60","0","14","10","14","4.7","4.2"
"Tyler Higbee","TE","LAR","2","148","74","92","0","7","4","7","6.1","4.1"
"David Njoku","TE","CLE","3","180","60","78","0","6","6","6","7.2","4.0"
"Juwan Johnson","TE","NO","3","154","51","76","0","8","5","8","6.1","4.0"
"Brandin Cooks","WR","DAL","2","99","50","71","0","11","4","11","3.9","3.9"
"Noah Brown","WR","HOU","1","52","52","68","2","8","8","10","1.9","3.7"
"Alec Pierce","WR","IND","3","204","68","96","0","6","3","6","7.6","3.7"
"Isaiah Likely","TE","BAL","3","90","30","43","0","4","3","4","3.2","3.6"
"Irv Smith Jr.","TE","CIN","2","76","38","65","0","12","7","12","2.7","3.6"
"Donovan Peoples-Jones","WR","CLE","3","205","68","88","0","5","2","5","6.8","3.3"
"Quez Watkins","WR","PHI","1","52","52","79","0","4","4","4","1.7","3.3"
"Brenton Strange","TE","JAC","1","21","21","29","0","10","10","10","0.7","3.3"
"C.J. Uzomah","TE","NYJ","1","28","28","44","0","4","4","4","0.9","3.2"
"Chigoziem Okonkwo","TE","TEN","3","136","45","77","0","7","5","7","4.2","3.1"
"Dalton Schultz","TE","HOU","3","160","53","74","0","9","4","9","4.7","2.9"
"Mo Alie-Cox","TE","IND","2","53","27","41","0","6","2","6","1.5","2.8"
"Michael Mayer","TE","LV","3","79","26","46","0","3","1","3","2.2","2.8"
"Teagan Quitoriano","TE","HOU","2","41","21","31","0","5","2","5","1.1","2.7"
"Jalen Tolbert","WR","DAL","2","75","38","52","0","7","4","7","1.8","2.4"
"Van Jefferson","WR","LAR","2","141","71","88","0","6","4","6","3.3","2.3"
"Adam Trautman","TE","DEN","3","154","51","80","0","5","3","5","3.4","2.2"
"MyCole Pruitt","TE","ATL","2","56","28","38","0","2","2","2","1.0","1.8"
"Dallas Goedert","TE","PHI","2","135","68","94","0","6","4","6","2.2","1.6"
"Luke Farrell","TE","JAC","1","25","25","34","0","4","4","4","0.4","1.6"
"Randall Cobb","WR","NYJ","3","91","30","55","0","4","1","4","1.2","1.3"
"Daniel Bellinger","TE","NYG","3","102","34","54","0","2","2","2","0.9","0.9"
"Kyle Juszczyk","RB","SF","1","42","42","51","2","0","2","2","0.3","0.7"
"Peyton Hendershot","TE","DAL","3","96","32","42","1","2","2","3","0.3","0.3"
"Trevon Wesco","TE","TEN","2","65","33","51","0","2","0","2","0.0","0.0"
"Ko Kieft","TE","TB","1","32","32","47","0","9","0","9","0.0","0.0"
"Kayshon Boutte","WR","NE","1","55","55","69","0","7","0","7","0.0","0.0"
"Julian Hill","TE","MIA","1","57","57","78","0","2","0","2","0.0","0.0"
"Marvin Jones Jr.","WR","DET","2","73","37","54","0","8","3","8","-1.2","-1.6"
"Deon Jackson","RB","IND","1","51","51","71","25","12","35","37","-1.2","-2.4"
"Blaine Gabbert","QB","KC","1","21","21","27","10","0","33","33","-0.9","-4.3"
""
""
