"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Kenley Jansen","ATL","16.7%","30.1%","","2.7","10","25","0","5","66","183","0","34","29","3096"
"David Price","LAD","0.0%","15.4%","","-0.1","0","8","0","1","170","0","0","78","49","3184"
"Liam Hendriks","CHW","0.0%","37.8%","","2.0","9","18","0","4","40","108","0","100","140","3548"
"Huascar Brazoban","MIA","0.0%","24.8%","","-0.3","4","25","0","0","131","37","0","91","64","6107"
"Jose Cisnero","DET","0.0%","31.4%","","0.5","8","24","0","0","110","58","0","135","140","6399"
"Steve Cishek","WSN","7.7%","33.3%","","1.3","7","20","0","0","45","","0","39","79","6483"
"Daniel Bard","COL","0.0%","40.3%","","2.9","8","19","0","2","36","293","0","63","103","7115"
"Collin McHugh","ATL","10.0%","30.5%","","1.4","4","14","0","0","58","","0","36","69","7531"
"Hunter Strickland","CIN","9.1%","32.0%","","1.2","7","19","0","0","53","257","0","63","93","7836"
"Lucas Luetge","NYY","9.1%","28.2%","","0.2","4","18","0","0","100","72","0","239","222","8337"
"Caleb Thielbar","MIN","10.0%","31.0%","","2.4","6","16","0","0","59","","0","60","105","10078"
"Brad Boxberger","MIL","5.9%","31.6%","","2.9","8","25","0","0","58","","0","45","81","10133"
"Ryan Tepera","LAA","0.0%","32.3%","","1.7","5","19","0","3","96","90","0","80","87","10291"
"Erasmo Ramirez","WSN","5.3%","24.7%","","0.6","3","23","0","0","90","110","0","52","54","10314"
"Mychal Givens","NYM","0.0%","22.2%","0.2","","0","4","1","0","115","","0","78","86","10430"
"Scott Alexander","SFG","0.0%","25.8%","0.8","0.2","1","20","3","0","76","","0","59","72","10591"
"Corey Dickerson","STL","0.0%","11.1%","","-0.1","0","6","0","0","189","0","0","235","137","10762"
"Tommy Kahnle","LAD","7.7%","30.3%","","1.6","3","16","0","1","71","","0","31","53","11384"
"Noah Syndergaard","PHI","0.0%","19.2%","1.4","","3","21","1","0","104","55","0","55","43","11762"
"Chris Martin","LAD","0.0%","30.9%","","3.6","8","14","0","0","-29","","0","43","114","11847"
"Jacob Barnes","NYY","0.0%","32.0%","","0.3","2","8","0","0","86","","0","96","140","12323"
"Matt Barnes","BOS","7.7%","32.5%","","0.2","3","19","0","3","125","36","0","96","80","12863"
"Orlando Arcia","ATL","0.0%","10.0%","","-0.1","0","4","0","0","262","0","0","78","0","13185"
"Ildemaro Vargas","WSN","0.0%","0.0%","","0.1","0","3","0","0","115","","0","0","0","13324"
"Taylor Rogers","MIL","0.0%","36.2%","","0.6","5","18","0","0","100","92","0","117","137","13449"
"Daniel Norris","DET","0.0%","33.8%","","1.9","7","17","0","0","35","","0","14","35","13475"
"Clay Holmes","NYY","0.0%","33.3%","","0.8","1","9","0","0","87","","0","27","44","13649"
"Josh Hader","SDP","0.0%","37.3%","","2.4","7","18","0","2","58","257","0","54","76","14212"
"Jose Leclerc","TEX","0.0%","31.3%","","0.9","5","14","0","1","121","60","0","133","116","14524"
"Jorge Lopez","MIN","0.0%","30.9%","","0.8","4","16","0","0","76","144","0","32","32","14527"
"Rowan Wick","CHC","14.3%","34.9%","","1.0","7","15","0","0","38","257","0","59","98","14646"
"Andres Machado","WSN","13.6%","26.3%","","-0.9","4","31","0","0","154","37","122","106","65","14681"
"Luis Perdomo","MIL","0.0%","55.6%","","1.7","4","10","0","0","41","","0","23","57","14682"
"Edwin Diaz","NYM","20.0%","54.9%","","2.2","8","13","0","1","7","","0","20","69","14710"
"Emilio Pagan","MIN","11.1%","27.4%","","1.1","7","17","0","0","60","253","0","32","39","14771"
"Scott Barlow","KCR","10.0%","34.5%","","1.4","6","19","0","1","101","72","0","64","35","14993"
"Kyle Finnegan","WSN","6.7%","27.1%","","0.9","4","20","0","0","90","147","0","78","91","15009"
"Yency Almonte","LAD","0.0%","40.0%","","0.9","3","13","0","0","87","","0","0","0","15068"
"Rob Zastryzny","LAA","0.0%","28.1%","","0.7","2","9","0","0","95","","0","0","0","15094"
"Adam Cimber","TOR","0.0%","25.5%","","1.5","5","29","0","0","80","","0","54","76","15288"
"Hunter Harvey","WSN","0.0%","34.1%","","1.4","7","22","0","0","82","128","0","65","79","15507"
"Tyler Rogers","SFG","5.3%","30.6%","","0.8","4","25","0","0","99","73","0","111","126","15541"
"Luis Torrens","SEA","0.0%","6.3%","","0.2","0","5","0","0","193","","0","80","70","15905"
"Jordan Romano","TOR","0.0%","30.6%","","2.0","9","20","0","2","63","325","0","48","78","16122"
"Aaron Bummer","CHW","0.0%","30.8%","","1.7","5","16","0","0","37","","0","74","127","16258"
"Foster Griffin","TOR","20.0%","29.6%","","0.2","2","8","0","0","85","72","0","80","70","16432"
"Bryan Abreu","HOU","0.0%","37.7%","","2.2","7","13","0","0","-6","253","0","96","209","16609"
"Jeff Brigham","MIA","0.0%","31.2%","","2.0","6","22","0","0","91","110","0","97","122","16631"
"Reed Garrett","WSN","0.0%","30.3%","","0.2","2","8","0","0","63","73","0","141","137","16866"
"Luis Ortiz","SFG","0.0%","31.6%","","0.3","3","10","0","0","47","110","0","101","114","16942"
"Tanner Banks","CHW","0.0%","38.9%","","0.5","2","4","0","0","14","","0","80","174","16990"
"Raisel Iglesias","ATL","5.3%","29.8%","","1.9","6","26","0","0","89","220","0","70","90","17130"
"Javy Guerra","TBR","0.0%","23.1%","","-0.9","1","20","0","0","177","9","0","75","23","17292"
"Albert Abreu","NYY","0.0%","22.2%","","0.0","0","2","0","0","79","","0","120","174","17485"
"Cristian Javier","HOU","4.8%","34.5%","5.4","","15","38","2","0","65","271","0","33","50","17606"
"Evan Phillips","LAD","0.0%","35.1%","","3.6","11","21","0","0","8","403","0","69","152","17734"
"Drew Smith","NYM","0.0%","29.6%","","1.5","6","18","0","0","62","220","0","84","125","17755"
"Jose Alvarado","PHI","0.0%","34.9%","","4.8","10","16","0","1","-12","","0","34","114","17780"
"Nestor Cortes","NYY","4.2%","30.9%","4.6","","17","45","2","0","65","154","0","36","29","17874"
"Dennis Santana","TEX","0.0%","26.4%","","-0.1","5","20","0","0","146","45","0","60","0","17878"
"Trent Thornton","TOR","0.0%","17.2%","","0.1","1","7","0","0","111","36","0","40","0","17948"
"Pete Fairbanks","TBR","0.0%","36.5%","","1.7","6","11","0","0","1","217","0","53","87","17998"
"Jaime Barria","LAA","0.0%","12.9%","","0.8","3","17","0","0","99","","0","109","134","18356"
"Scott Effross","NYY","9.1%","30.8%","","0.3","4","18","0","2","102","72","0","74","63","18384"
"Tyler Cyr","OAK","0.0%","28.9%","","1.0","7","19","0","0","59","126","0","86","116","18421"
"Junior Fernandez","PIT","0.0%","18.1%","","-0.5","2","14","0","0","170","18","0","117","43","18496"
"Sam Hentges","CLE","0.0%","26.1%","","1.1","6","19","0","0","70","108","0","103","127","18548"
"Jake Woodford","STL","0.0%","25.0%","","0.6","2","18","0","0","80","","0","63","86","18674"
"Michael Rucker","CHC","0.0%","25.6%","","1.5","7","19","0","0","97","86","0","63","38","19454"
"Andrew Vasquez","SFG","0.0%","31.4%","","0.6","4","7","0","0","35","147","0","39","0","19482"
"Stephen Nogosek","NYM","0.0%","28.3%","","0.9","6","11","0","0","-5","","0","88","206","19545"
"Jordan Hicks","STL","0.0%","20.0%","","0.1","0","5","0","0","78","","0","156","137","19618"
"Jonathan Loaisiga","NYY","0.0%","27.4%","","2.1","4","20","0","1","47","","0","75","109","19753"
"Bryan Baker","BAL","0.0%","29.5%","","2.7","9","24","0","1","83","163","0","21","0","19804"
"Kevin Ginkel","ARI","0.0%","29.3%","","2.9","8","23","0","1","51","293","0","62","98","19876"
"Alex Lange","DET","0.0%","27.5%","","1.3","3","26","0","0","107","54","0","84","83","19883"
