"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Jovani Moran","MIN","2.28","22.0%","5.4%","32.0%","","8.0","164","0","1","73","108","0","84","95","20422"
"John Schreiber","BOS","2.57","21.4%","5.0%","30.3%","","16.3","257","0","8","76","141","39","79","93","20020"
"Daniel Hudson","LAD","2.74","25.8%","3.3%","27.6%","","7.6","97","0","5","61","220","34","71","93","7146"
"Jake Woodford","STL","4.00","6.9%","5.3%","23.8%","1.3","4.0","188","1","0","105","80","17","87","95","18674"
"Alek Manoah","TOR","3.31","16.4%","5.4%","27.5%","37.7","","786","31","0","101","127","68","79","85","26410"
"Matt Wisler","TBR","3.24","11.9%","11.8%","27.5%","1.0","0.6","176","5","1","125","90","114","80","69","12804"
"Nick Sandlin","CLE","3.36","9.4%","4.5%","27.8%","","3.1","180","0","0","107","62","38","93","79","20517"
"Lance McCullers Jr.","HOU","3.57","14.4%","4.9%","29.0%","7.6","","195","8","0","91","82","70","99","97","14120"
"Robert Suarez","SDP","3.27","20.9%","8.6%","26.7%","","6.7","191","0","1","82","106","68","82","85","30115"
"Clayton Kershaw","LAD","2.51","23.1%","4.2%","31.0%","34.1","","493","22","0","71","218","65","74","92","2036"
"Cody Morris","CLE","4.94","11.0%","12.3%","25.2%","0.5","0.7","100","5","0","106","69","106","111","101","25388"
"Sandy Alcantara","MIA","2.92","17.7%","5.2%","27.5%","51.5","","886","32","0","83","152","57","77","90","18684"
"Max Scherzer","NYM","2.87","26.4%","8.4%","30.8%","38.8","","565","23","0","81","264","73","71","95","3137"
"Michael King","NYY","2.83","25.1%","6.8%","34.7%","","15.4","199","0","1","61","149","49","80","98","19853"
"Ronny Henriquez","MIN","3.03","12.0%","8.3%","23.2%","","0.1","50","0","0","118","108","72","75","70","24094"
"Sam Hentges","CLE","2.79","21.6%","5.3%","30.2%","","9.9","245","0","1","67","137","40","77","90","18548"
"Gabe Speier","KCR","2.76","11.7%","3.4%","22.5%","0.6","0.4","77","1","0","107","94","86","87","87","17170"
"Shohei Ohtani","LAA","2.68","26.5%","6.3%","31.6%","49.0","","660","28","0","67","180","71","81","101","19755"
"Aaron Bummer","CHW","3.97","17.1%","6.7%","31.3%","","2.9","117","0","2","71","108","63","120","134","16258"
"Alex Young","- - -","3.64","8.6%","2.4%","29.2%","-0.6","4.4","116","1","0","101","67","0","117","120","18333"
"Rafael Montero","HOU","2.70","18.5%","2.9%","29.0%","","14.1","270","0","14","81","115","37","82","91","12760"
"David Robertson","- - -","3.05","17.4%","7.6%","33.0%","","7.1","264","0","20","93","85","77","91","81","8241"
"Junior Fernandez","- - -","3.97","2.4%","3.5%","25.8%","","-3.2","84","0","0","122","43","131","126","95","18496"
"Tommy Hunter","NYM","4.53","17.0%","13.6%","24.9%","","-0.3","94","0","0","99","134","146","95","94","1157"
"JT Chargois","TBR","2.59","14.0%","6.5%","29.6%","-0.1","-0.4","86","3","0","98","101","112","75","77","13767"
"Nestor Cortes","NYY","2.70","20.3%","5.3%","28.3%","33.0","","615","28","0","92","155","84","74","81","17874"
