sos1rank,team
1,CHI
2,MIA
3,ARI
4,GB
5,KC
6,NE
7,LV
8,BUF
9,LAC
10,CAR
11,MIN
12,NYJ
13,LAR
14,SEA
15,DEN
16,WAS
17,NYG
18,SF
19,PIT
20,DAL
21,TB
22,JAC
23,PHI
24,BAL
25,TEN
26,HOU
27,DET
28,ATL
29,IND
30,CIN
31,NO
32,CLE
