"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Raisel Iglesias","- - -","3.10","26.0%","10.6%","32.6%","","14.6","246","0","17","76","202","67","77","97","17130"
"Max Fried","ATL","2.85","18.8%","4.0%","27.5%","44.8","","733","30","0","78","195","53","79","96","13743"
"Jimmy Herget","LAA","2.92","18.0%","6.5%","30.6%","1.2","13.6","266","1","9","88","147","48","73","85","17556"
"Andres Munoz","SEA","1.84","32.7%","5.3%","35.6%","","17.6","248","0","4","51","231","64","71","104","20373"
"Hunter Harvey","WSN","2.76","21.0%","5.0%","28.4%","","9.4","157","0","0","85","137","21","89","111","15507"
"Camilo Doval","SFG","2.90","17.5%","4.6%","29.6%","","11.4","286","0","27","77","98","48","97","101","21992"
"Jorge Lopez","- - -","3.31","13.8%","4.8%","29.7%","","7.7","298","0","23","93","84","47","94","93","14527"
"Scott Effross","- - -","2.51","20.5%","4.0%","31.2%","0.3","12.4","229","1","4","80","151","44","83","98","18384"
"Cristian Javier","HOU","2.43","24.3%","7.2%","28.3%","28.2","2.7","585","25","0","89","135","96","76","79","17606"
"Shane McClanahan","TBR","2.79","24.3%","6.4%","32.8%","32.4","","641","28","0","65","184","95","74","87","21483"
"Zac Gallen","ARI","3.17","20.3%","7.8%","27.8%","39.2","","714","31","0","83","150","67","71","81","19291"
"Clay Holmes","NYY","2.41","17.3%","1.8%","30.4%","","10.4","260","0","20","73","117","26","82","91","13649"
"Tyler Anderson","LAD","3.10","14.7%","4.9%","28.1%","34.1","2.5","707","28","0","103","140","64","78","88","12880"
"Wily Peralta","DET","4.14","4.8%","4.5%","25.4%","0.1","0.1","168","1","0","122","48","44","121","102","7738"
"Collin McHugh","ATL","3.05","22.4%","5.1%","28.7%","","13.2","272","0","0","82","196","59","73","91","7531"
"Jaime Barria","LAA","4.11","11.1%","10.0%","26.4%","-1.0","1.6","316","1","0","112","103","116","83","79","18356"
"David Bednar","PIT","3.22","25.2%","7.3%","31.5%","","13.8","210","0","19","71","158","63","88","108","19569"
"Chase De Jong","PIT","3.89","9.9%","8.5%","26.9%","","-2.0","293","0","1","124","72","114","89","76","15036"
"Spencer Strider","ATL","2.39","29.7%","6.1%","31.1%","36.0","6.9","528","20","0","58","165","43","78","100","27498"
"Lucas Luetge","NYY","3.57","17.1%","5.3%","28.5%","","8.1","251","0","2","100","127","58","111","124","8337"
"Paul Sewald","SEA","2.64","22.7%","9.4%","31.2%","","4.6","242","0","20","91","153","131","61","55","13892"
"Brooks Raley","TBR","2.79","21.0%","2.2%","30.1%","","8.8","219","0","6","83","147","47","77","89","10061"
"Trevor Stephan","CLE","2.34","24.0%","3.1%","31.5%","","16.2","267","0","3","71","165","39","94","118","19932"
"Wandy Peralta","NYY","2.66","13.5%","4.4%","27.8%","","8.9","223","0","4","91","100","30","84","89","14295"
