"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"DJ LeMahieu","NYY","18","0","0","92","25","140","0","76","0",".583","0.0%","-0.6","84.2","9874"
"Michael Harris II","ATL","52","1","2","94","111","92","82","71","1",".615","2.9%","-1.4","89.7","25931"
"Jacob Stallings","MIA","24","0","0","101","74","100","0","75","0",".583","0.0%","-1.0","87.0","13723"
"Chad Pinder","OAK","21","0","0","129","107","0","32","79","1",".619","6.3%","-0.5","87.1","15191"
"J.T. Realmuto","PHI","46","1","3","107","115","0","72","70","3",".616","9.1%","-1.2","89.5","11739"
"Spencer Steer","CIN","44","1","0","89","121","54","81","64","3",".598","10.7%","-1.7","84.0","26323"
"Gilberto Celestino","MIN","38","0","1","74","47","198","42","74","0",".566","0.0%","-1.5","89.7","20233"
"Kurt Suzuki","LAA","7","0","0","69","0","0","0","70","0",".533","0.0%","-0.3","77.7","8259"
"Miguel Vargas","LAD","17","1","0","76","156","70","129","71","2",".635","20.0%","-0.5","93.3","20178"
"LaMonte Wade Jr.","SFG","31","0","1","100","57","116","0","71","1",".573","4.2%","-0.8","85.9","18126"
"Ryan McKenna","BAL","14","0","0","104","96","90","52","71","1",".593","10.0%","-0.6","87.2","19928"
"Christian Bethancourt","TBR","24","0","0","148","169","52","29","75","1",".596","7.1%","-0.7","88.7","10028"
"Max Muncy","LAD","51","0","0","59","87","211","33","70","2",".513","6.9%","-1.6","88.7","13301"
"Trea Turner","LAD","53","1","2","101","117","90","53","70","2",".589","5.7%","-1.3","89.0","16252"
"T.J. Friedl","CIN","35","1","1","47","76","171","89","61","1",".562","4.3%","-1.7","86.8","19522"
"Gunnar Henderson","BAL","52","1","0","75","156","242","64","70","2",".546","8.3%","-1.8","93.2","26289"
"Yan Gomes","CHC","21","0","0","114","126","0","92","68","0",".619","0.0%","-0.9","82.3","9627"
"Matt Duffy","LAA","38","0","0","90","71","132","20","68","0",".558","0.0%","-1.7","88.1","13836"
"Alfonso Rivas","CHC","31","0","1","90","86","116","0","68","1",".533","5.0%","-0.8","83.9","21560"
"Edward Olivares","KCR","48","1","0","99","94","52","58","66","3",".597","8.3%","-1.5","87.2","19698"
"Jonathan India","CIN","39","0","0","94","125","92","39","61","3",".550","13.6%","-1.8","82.6","21523"
"Corey Dickerson","STL","34","1","0","66","52","70","83","71","1",".587","3.7%","-1.2","88.0","10762"
"Kyle Tucker","HOU","40","1","3","80","101","94","74","70","1",".581","3.7%","-1.1","92.4","18345"
"Matt Reynolds","CIN","28","0","0","86","111","214","28","60","0",".539","0.0%","-1.4","88.9","13788"
"James McCann","NYM","18","1","0","103","172","0","108","73","0",".611","0.0%","-0.6","86.2","12859"
"Terrin Vavra","BAL","30","1","0","75","60","84","72","68","1",".588","4.2%","-1.4","87.5","24400"
"Sam Haggerty","SEA","27","0","1","74","100","279","0","73","0",".528","0.0%","-0.6","82.2","18054"
"Eloy Jimenez","CHW","36","2","0","73","163","70","138","67","1",".605","4.8%","-1.4","92.7","17484"
"Abraham Almonte","BOS","29","1","1","102","155","0","96","62","1",".599","5.6%","-0.7","88.6","5486"
"Ezequiel Tovar","COL","35","1","0","90","114","68","78","51","3",".590","12.5%","-1.8","88.6","24064"
"Joey Wendle","MIA","23","0","0","147","154","52","0","68","0",".577","0.0%","-0.9","92.2","13853"
"Jean Segura","PHI","48","0","0","99","55","100","0","64","0",".563","0.0%","-3.1","81.1","5933"
"Alex Bregman","HOU","49","2","0","45","28","128","96","67","1",".575","2.5%","-2.0","86.9","17678"
"Vidal Brujan","TBR","8","1","0","0","56","0","251","71","1",".625","14.3%","-0.2","90.7","20536"
"Avisail Garcia","MIA","21","1","0","34","147","171","143","66","1",".571","9.1%","-0.9","87.3","5760"
"Myles Straw","CLE","40","0","3","111","90","94","0","64","0",".565","0.0%","-0.8","85.3","17620"
"Victor Caratini","MIL","28","0","0","95","111","85","77","62","0",".579","0.0%","-1.5","92.2","14968"
"Mike Ford","LAA","16","0","0","94","113","79","89","62","0",".583","0.0%","-0.8","88.4","15585"
"MJ Melendez","KCR","59","1","0","75","107","149","77","60","3",".560","7.9%","-3.0","90.6","22197"
"Michael Toglia","COL","45","0","0","140","187","106","31","47","1",".557","4.5%","-2.5","82.2","25845"
"Michael Massey","KCR","38","2","0","62","83","0","130","59","3",".599","10.0%","-1.6","87.9","27684"
"Eddie Rosario","ATL","35","0","0","102","88","34","59","59","1",".590","3.7%","-1.6","85.3","12155"
"Jordan Diaz","OAK","42","0","0","96","54","30","49","67","0",".579","0.0%","-1.4","86.4","22650"
"Matt Wallner","MIN","41","1","1","92","198","184","79","64","1",".557","6.3%","-1.3","81.8","26466"
"Elvis Andrus","CHW","56","3","3","58","72","22","124","61","3",".585","6.7%","-1.2","85.3","8709"
"Harold Ramirez","TBR","40","0","0","104","90","31","35","67","1",".564","3.3%","-1.6","90.9","14387"
"Eugenio Suarez","SEA","35","0","0","138","167","72","21","66","2",".567","10.0%","-1.5","92.9","12552"
"Jorge Mateo","BAL","49","0","4","108","119","77","45","60","1",".560","3.0%","-1.6","86.1","17273"
"Dalton Guthrie","PHI","12","0","1","69","147","199","0","56","0",".444","0.0%","-0.4","76.5","21293"
"Travis d'Arnaud","ATL","41","0","0","110","129","0","65","55","4",".569","14.3%","-2.5","88.8","7739"
"Bryce Harper","PHI","56","1","2","81","79","150","56","56","3",".608","7.7%","-2.7","90.6","11579"
"Chuckie Robinson","CIN","17","1","0","53","78","0","152","50","1",".588","7.1%","-1.3","86.4","19824"
"Nick Castellanos","PHI","27","0","0","108","98","89","0","55","1",".536","5.3%","-1.6","81.8","11737"
"Xander Bogaerts","BOS","44","1","0","63","51","114","52","51","1",".529","2.9%","-2.1","84.3","12161"
"Donovan Solano","CIN","28","0","0","107","142","85","26","49","1",".526","6.3%","-1.9","93.0","8623"
"Jake McCarthy","ARI","38","0","4","119","116","0","18","53","0",".548","0.0%","-1.2","80.8","21622"
"Miguel Rojas","MIA","27","0","0","72","16","44","52","56","0",".539","0.0%","-1.6","87.6","7802"
"Jon Berti","MIA","50","0","5","100","133","96","56","56","0",".543","0.0%","-1.3","89.3","12037"
"Lane Thomas","WSN","54","1","1","67","90","133","67","52","1",".530","2.7%","-3.2","85.0","16939"
"Carlos Perez","CHW","14","0","0","86","64","0","96","54","0",".571","0.0%","-0.9","83.0","20805"
"Stephen Vogt","OAK","18","1","0","27","75","70","197","59","2",".578","14.3%","-0.8","89.9","5000"
"Yoan Moncada","CHW","46","1","0","78","117","55","107","54","5",".558","15.6%","-2.3","88.7","17232"
"Enrique Hernandez","BOS","51","0","0","91","79","99","28","48","2",".530","5.3%","-3.4","89.1","10472"
"Leody Taveras","TEX","38","1","1","82","142","99","79","53","1",".537","4.3%","-1.6","86.9","18900"
"Brian Anderson","MIA","39","0","0","92","113","61","54","55","1",".534","3.8%","-2.1","80.8","18289"
"Kevin Plawecki","TEX","11","0","0","148","164","0","0","53","0",".545","0.0%","-0.9","82.8","13807"
"Jackie Bradley Jr.","TOR","16","0","0","77","113","236","0","53","0",".466","0.0%","-0.9","80.5","12984"
"Charles Leblanc","MIA","31","0","0","106","185","193","25","52","0",".483","0.0%","-1.5","87.4","19813"
"Nick Allen","OAK","44","1","1","59","41","86","86","56","1",".540","2.7%","-1.9","85.9","22277"
"Alec Bohm","PHI","58","1","1","67","53","62","61","46","3",".524","6.4%","-3.4","86.4","21618"
"Josh Smith","TEX","46","0","1","71","88","191","18","48","2",".478","6.7%","-2.8","89.4","26396"
"J.J. Bleday","MIA","39","1","0","57","113","123","98","49","1",".534","4.0%","-2.2","84.2","26368"
"Luis Campusano","SDP","19","0","0","132","140","0","0","50","0",".526","0.0%","-1.2","91.9","22217"
"Ildemaro Vargas","WSN","43","0","0","84","21","0","45","44","0",".535","0.0%","-2.8","85.5","13324"
"Spencer Torkelson","DET","41","2","0","58","143","61","120","47","4",".528","15.4%","-2.7","92.1","27465"
"Billy Hamilton","MIN","3","0","3","","300","419","0","46","0",".333","","0.6","","10199"
"Seby Zavala","CHW","3","0","0","0","150","419","0","45","0",".333","0.0%","-0.2","83.8","18887"
"Nate Mondou","OAK","3","0","0","0","150","419","0","50","0",".333","0.0%","-0.2","54.3","19563"
"Rodolfo Castro","PIT","47","0","0","83","113","153","16","42","1",".477","3.4%","-3.1","85.0","21987"
"Darin Ruf","NYM","14","0","0","76","95","85","0","48","0",".452","0.0%","-0.9","88.4","9929"
"Ketel Marte","ARI","25","0","1","69","53","96","56","41","0",".501","0.0%","-1.6","90.9","13613"
"Jason Delay","PIT","23","0","0","86","96","52","61","42","0",".513","0.0%","-1.7","87.3","19806"
"Mike Brosseau","MIL","16","0","0","98","193","0","46","40","2",".464","28.6%","-1.1","94.0","19683"
"Brendon Davis","DET","11","0","1","99","123","114","0","42","1",".473","14.3%","-0.5","88.0","18587"
"Vaughn Grissom","ATL","20","0","0","103","177","60","38","37","1",".485","10.0%","-1.2","93.0","26031"
"Tyler Freeman","CLE","8","0","0","115","113","0","0","39","0",".500","0.0%","-0.6","81.9","22532"
"Jarren Duran","BOS","4","0","0","86","0","0","0","33","0",".500","0.0%","-0.3","77.8","24617"
"Luis Rengifo","LAA","61","2","0","66","74","41","68","37","3",".501","6.1%","-4.2","86.1","19858"
"Cesar Hernandez","WSN","32","0","1","94","111","75","22","37","1",".483","4.5%","-2.2","90.3","10556"
"Robbie Grossman","ATL","29","0","0","86","152","124","52","35","0",".481","0.0%","-1.9","85.0","5254"
"Tony Kemp","OAK","42","0","1","79","54","60","33","43","0",".488","0.0%","-2.3","84.8","14894"
"Manuel Margot","TBR","49","1","1","71","101","77","58","42","1",".485","2.9%","-3.5","89.4","14712"
"Jose Trevino","NYY","28","1","0","55","96","90","77","38","1",".484","5.0%","-2.1","91.0","16725"
"Josh Donaldson","NYY","47","0","0","99","144","80","16","38","0",".470","0.0%","-3.7","90.0","5038"
"Lewin Diaz","MIA","29","1","0","86","168","41","69","38","0",".493","0.0%","-2.2","88.3","18365"
"Brandon Dixon","SDP","14","0","0","114","158","0","46","39","0",".500","0.0%","-1.6","88.4","15214"
"Jose Siri","TBR","35","1","0","91","180","36","79","41","1",".494","5.0%","-2.1","81.6","17452"
"Ryan Jeffers","MIN","22","0","0","65","82","114","67","37","0",".477","0.0%","-1.7","86.5","24618"
"Victor Robles","WSN","37","1","1","79","108","0","74","33","1",".509","3.6%","-3.3","88.7","18363"
"Tommy Pham","BOS","46","1","0","46","98","109","82","28","2",".461","6.5%","-3.8","91.1","2967"
"Elehuris Montero","COL","25","0","0","86","142","48","81","18","0",".492","0.0%","-2.3","88.2","20543"
"Nick Fortes","MIA","31","1","0","33","71","154","72","35","2",".448","9.1%","-2.3","91.5","21538"
"Nick Gordon","MIN","47","0","0","81","96","0","33","34","1",".478","2.9%","-3.5","89.5","16337"
"Connor Wong","BOS","20","0","0","53","90","126","39","27","2",".426","15.4%","-1.4","86.9","19896"
"Jordan Groshans","MIA","36","0","0","89","86","66","0","33","0",".456","0.0%","-2.9","83.7","23794"
"Bubba Thompson","TEX","40","0","2","120","158","0","17","30","0",".475","0.0%","-2.9","82.4","22261"
"Jonah Heim","TEX","27","1","0","66","83","0","74","30","2",".481","9.1%","-2.3","87.3","16930"
"Thairo Estrada","SFG","39","0","2","71","68","92","0","31","1",".428","3.4%","-2.7","87.2","16426"
"Kody Clemens","DET","10","1","0","0","135","0","201","31","1",".500","14.3%","-0.7","84.7","20572"
"Mark Contreras","MIN","23","1","1","29","157","55","128","30","4",".460","30.8%","-1.5","97.3","20122"
"Wilmer Flores","SFG","42","0","0","40","84","199","20","29","1",".387","3.8%","-3.6","81.0","5827"
"Matt Chapman","TOR","48","0","0","49","103","209","0","27","1",".373","3.6%","-3.7","87.3","16505"
"Michael A. Taylor","KCR","28","0","1","78","64","45","26","23","2",".453","8.7%","-2.2","84.7","11489"
"Harrison Bader","NYY","41","0","2","93","143","61","35","27","0",".456","0.0%","-3.7","83.3","18030"
"Joey Bart","SFG","31","0","0","106","200","154","0","28","1",".406","7.7%","-2.8","78.1","21524"
"Yasmani Grandal","CHW","34","0","0","69","79","111","22","25","0",".429","0.0%","-3.4","91.1","11368"
"Daulton Varsho","ARI","45","1","4","66","147","53","61","22","3",".438","11.1%","-3.1","85.9","19918"
"Alejandro Kirk","TOR","42","1","0","45","64","120","53","24","1",".425","3.1%","-4.1","88.5","22581"
"Romy Gonzalez","CHW","25","0","0","106","198","0","56","23","0",".450","0.0%","-2.2","87.5","21562"
"Dermis Garcia","OAK","38","1","0","86","190","33","72","29","2",".454","9.5%","-3.1","85.9","20926"
"Ford Proctor","SFG","22","1","0","21","60","109","108","24","1",".460","5.9%","-1.6","89.4","21634"
"Austin Barnes","LAD","23","0","0","57","135","208","0","24","0",".366","0.0%","-2.3","85.0","12158"
"Mark Payton","CHW","24","0","0","61","75","157","0","21","0",".393","0.0%","-1.8","84.6","16042"
"Miles Mastrobuoni","TBR","17","0","1","104","159","74","0","27","0",".423","0.0%","-0.9","86.3","20017"
"David Fletcher","LAA","27","0","0","80","17","0","0","20","0",".444","0.0%","-2.6","82.2","17992"
"Mauricio Dubon","HOU","20","0","0","92","113","0","35","22","0",".463","0.0%","-1.8","86.7","16530"
"Nico Hoerner","CHC","40","1","2","55","66","60","70","20","1",".470","3.1%","-3.4","88.0","21479"
"Cavan Biggio","TOR","21","0","0","104","193","60","0","20","0",".396","0.0%","-1.8","76.7","19252"
"Ryan Kreidler","DET","31","0","0","82","102","81","0","21","1",".412","4.5%","-2.8","90.4","25867"
"Elias Diaz","COL","33","0","0","98","147","36","21","4","1",".438","4.8%","-4.0","88.7","11680"
"Ben DeLuzio","STL","15","0","0","69","118","0","46","21","0",".414","0.0%","-1.1","77.1","19644"
"Justin Turner","LAD","26","0","0","81","119","46","0","19","0",".397","0.0%","-2.6","88.8","5235"
"Brian Serven","COL","17","0","0","103","156","0","40","2","0",".438","0.0%","-2.0","88.2","19422"
"Paul DeJong","STL","29","0","0","107","183","41","23","20","1",".421","6.3%","-2.7","85.0","18015"
"Mark Mathias","TEX","12","0","0","43","75","209","0","16","1",".350","12.5%","-1.1","90.2","18032"
"Vimael Machin","OAK","32","0","0","86","183","118","23","20","0",".391","0.0%","-3.0","90.8","17684"
"Jonah Bride","OAK","16","0","0","35","84","236","0","18","0",".327","0.0%","-1.6","93.6","24703"
"Isaac Paredes","TBR","38","0","0","26","47","198","22","18","0",".334","0.0%","-3.5","86.1","20036"
"Martin Maldonado","HOU","22","1","0","69","205","0","96","13","1",".429","8.3%","-2.4","85.4","6887"
"Marwin Gonzalez","NYY","25","1","0","49","162","50","87","12","1",".421","6.7%","-2.7","89.7","5497"
"Joey Gallo","LAD","28","1","0","38","237","128","81","12","1",".387","10.0%","-3.1","95.2","14128"
"Ehire Adrianza","ATL","5","0","0","86","88","0","0","6","0",".400","0.0%","-0.5","90.7","8418"
"Terrance Gore","NYM","6","0","0","86","74","0","0","14","0",".400","0.0%","-0.5","82.4","13658"
"Michael Hermosillo","CHC","10","0","1","114","177","0","0","9","0",".400","0.0%","-0.8","87.8","16285"
"Will Benson","CLE","6","0","0","115","150","0","0","8","0",".400","0.0%","-0.6","64.7","21853"
"Yu Chang","BOS","15","0","0","43","150","167","52","2","0",".354","0.0%","-1.7","78.1","14773"
"Riley Adams","WSN","25","1","0","29","177","96","84","4","0",".377","0.0%","-2.9","84.8","19864"
"Buddy Kennedy","ARI","4","0","0","0","221","299","0","3","0",".250","0.0%","-0.4","95.9","22505"
"Luke Voit","WSN","52","1","0","69","170","23","65","2","3",".394","9.7%","-6.6","86.3","14811"
"Willy Adames","MIL","55","0","1","98","161","0","12","1","1",".382","2.9%","-6.3","85.8","15986"
"Carson Kelly","ARI","35","0","1","69","114","34","39","0","0",".384","0.0%","-3.9","90.9","13620"
"Jose Barrero","CIN","31","0","1","69","185","116","23","-7","1",".336","6.7%","-3.6","89.5","23378"
"Garrett Stubbs","PHI","14","0","0","57","190","171","0","-4","0",".298","0.0%","-1.6","93.1","18067"
"Gavin Lux","LAD","37","0","0","66","120","32","36","-3","1",".357","3.8%","-4.2","88.8","19955"
"Mickey Moniak","LAA","16","0","0","86","197","79","0","-10","1",".321","12.5%","-1.9","83.9","19956"
"Mike Siani","CIN","24","0","0","81","129","0","0","-19","0",".333","0.0%","-3.5","81.0","22557"
"Trey Mancini","HOU","33","0","0","45","109","76","45","-14","2",".318","8.7%","-4.6","88.7","15149"
"Jonathan Aranda","TBR","31","1","0","23","174","122","72","-10","1",".340","6.3%","-3.6","88.6","21837"
"Omar Narvaez","MIL","23","0","0","46","96","104","0","-15","0",".282","0.0%","-3.1","78.4","13338"
"Alejo Lopez","CIN","31","0","0","69","86","0","0","-22","0",".323","0.0%","-4.5","82.4","21127"
"Jace Peterson","MIL","23","0","1","49","135","104","0","-20","0",".269","0.0%","-2.8","79.1","12325"
"Nick Maton","PHI","14","0","0","98","221","0","0","-28","0",".297","0.0%","-1.9","79.9","21635"
"Bradley Zimmer","TOR","13","0","1","69","242","0","0","-29","0",".237","0.0%","-2.0","81.8","16221"
"Kerry Carpenter","DET","13","0","0","35","69","0","0","-29","0",".237","0.0%","-1.9","86.3","25961"
"Aledmys Diaz","HOU","33","0","0","51","82","0","20","-33","0",".273","0.0%","-5.3","83.1","15937"
"Nicky Lopez","KCR","22","0","0","36","20","57","0","-38","0",".243","0.0%","-3.2","81.1","19339"
"Jorge Alfaro","SDP","6","0","0","0","147","199","0","-30","0",".167","0.0%","-0.9","81.8","12180"
"Trent Grisham","SDP","27","0","1","103","278","0","24","-32","0",".259","0.0%","-4.1","95.9","18564"
"Zack Collins","PIT","20","0","0","0","133","180","0","-42","0",".150","0.0%","-3.6","89.0","19181"
"Kole Calhoun","TEX","22","0","1","31","184","114","0","-44","0",".186","0.0%","-3.4","89.2","11200"
"Francisco Mejia","TBR","21","0","0","41","86","0","32","-40","0",".238","0.0%","-3.5","85.8","16403"
"C.J. Cron","COL","31","0","0","34","128","77","0","-58","2",".200","10.0%","-5.7","90.8","12546"
"Jose Azocar","SDP","27","0","0","54","131","0","0","-42","1",".222","5.3%","-4.5","87.9","18821"
"Garrett Hampson","COL","9","0","1","86","246","0","0","-60","0",".222","0.0%","-1.5","86.3","19262"
"Jose Godoy","PIT","10","0","0","86","265","0","0","-53","0",".200","0.0%","-1.7","79.6","15808"
"Austin Hedges","CLE","26","0","0","25","173","97","0","-56","1",".157","7.1%","-4.9","86.3","12976"
"Tyler Heineman","PIT","8","0","0","0","55","150","0","-54","0",".125","0.0%","-1.5","76.9","13897"
"Michael Chavis","PIT","8","0","0","0","111","150","0","-54","0",".125","0.0%","-1.4","76.0","17321"
"Tyler Naquin","NYM","25","0","0","38","124","0","26","-48","0",".200","0.0%","-4.2","89.4","13359"
"Andrew Vaughn","CHW","37","0","0","29","134","68","0","-58","1",".167","4.2%","-6.8","87.0","26197"
"Yadier Molina","STL","12","0","0","38","111","0","0","-59","0",".174","0.0%","-2.4","77.3","7007"
"Austin Romine","CIN","22","0","0","34","221","0","0","-70","1",".139","10.0%","-4.4","91.6","5491"
"Ernie Clement","OAK","18","0","0","22","50","0","37","-62","1",".167","6.3%","-3.3","79.5","20352"
"Tres Barrera","WSN","14","0","0","43","158","0","0","-68","0",".154","0.0%","-2.8","78.2","19977"
"Jose Iglesias","COL","16","0","0","25","55","0","0","-90","0",".125","0.0%","-3.6","82.6","10231"
"Matt Bush","MIL","0","0","0","","","","","","",".000","","0.0","","1246"
"Adam Ottavino","NYM","0","0","0","","","","","","",".000","","0.0","","1247"
"Matt Moore","TEX","0","0","0","","","","","","",".000","","0.0","","1890"
"Zack Greinke","KCR","0","0","0","","","","","","",".000","","0.0","","1943"
"Clayton Kershaw","LAD","0","0","0","","","","","","",".000","","0.0","","2036"
"Adam Wainwright","STL","0","0","0","","","","","","",".000","","0.0","","2233"
"Corey Kluber","TBR","0","0","0","","","","","","",".000","","0.0","","2429"
"Lance Lynn","CHW","0","0","0","","","","","","",".000","","0.0","","2520"
"Kenley Jansen","ATL","0","0","0","","","","","","",".000","","0.0","","3096"
"Max Scherzer","NYM","0","0","0","","","","","","",".000","","0.0","","3137"
"David Price","LAD","0","0","0","","","","","","",".000","","0.0","","3184"
"Zack Britton","NYY","0","0","0","","","","","","",".000","","0.0","","3240"
"Anibal Sanchez","WSN","0","0","0","","","","","","",".000","","0.0","","3284"
"Liam Hendriks","CHW","0","0","0","","","","","","",".000","","0.0","","3548"
"Mark Melancon","ARI","0","0","0","","","","","","",".000","","0.0","","4264"
"Charlie Morton","ATL","0","0","0","","","","","","",".000","","0.0","","4676"
"Rich Hill","BOS","0","0","0","","","","","","",".000","","0.0","","4806"
"Jake Diekman","CHW","0","0","0","","","","","","",".000","","0.0","","5003"
"Manny Banuelos","PIT","0","0","0","","","","","","",".000","","0.0","","5365"
"Jesse Chavez","ATL","0","0","0","","","","","","",".000","","0.0","","5448"
"Ryan Brasier","BOS","0","0","0","","","","","","",".000","","0.0","","5615"
"Huascar Brazoban","MIA","0","0","0","","","","","","",".000","","0.0","","6107"
"David Phelps","TOR","0","0","0","","","","","","",".000","","0.0","","6316"
"Jake Odorizzi","ATL","0","0","0","","","","","","",".000","","0.0","","6397"
"Trevor May","NYM","0","0","0","","","","","","",".000","","0.0","","6398"
"Jose Cisnero","DET","0","0","0","","","","","","",".000","","0.0","","6399"
"Steve Cishek","WSN","0","0","0","","","","","","",".000","","0.0","","6483"
"Alex Cobb","SFG","0","0","0","","","","","","",".000","","0.0","","6562"
"Carlos Carrasco","NYM","0","0","0","","","","","","",".000","","0.0","","6632"
"Craig Kimbrel","LAD","0","0","0","","","","","","",".000","","0.0","","6655"
"Alex Colome","COL","0","0","0","","","","","","",".000","","0.0","","6661"
"Johnny Cueto","CHW","0","0","0","","","","","","",".000","","0.0","","6893"
"Chase Anderson","CIN","0","0","0","","","","","","",".000","","0.0","","6895"
"Martin Perez","TEX","0","0","0","","","","","","",".000","","0.0","","6902"
"Luis Garcia","SDP","0","0","0","","","","","","",".000","","0.0","","6984"
"Ian Kennedy","ARI","0","0","0","","","","","","",".000","","0.0","","6986"
"Ryan Pressly","HOU","0","0","0","","","","","","",".000","","0.0","","7005"
"Fernando Cruz","CIN","0","0","0","","","","","","",".000","","0.0","","7048"
"Daniel Bard","COL","0","0","0","","","","","","",".000","","0.0","","7115"
"Craig Stammen","SDP","0","0","0","","","","","","",".000","","0.0","","7274"
"Collin McHugh","ATL","0","0","0","","","","","","",".000","","0.0","","7531"
"Jordan Lyles","BAL","0","0","0","","","","","","",".000","","0.0","","7593"
"Richard Bleier","MIA","0","0","0","","","","","","",".000","","0.0","","7803"
"Hunter Strickland","CIN","0","0","0","","","","","","",".000","","0.0","","7836"
"Anthony Bass","TOR","0","0","0","","","","","","",".000","","0.0","","7982"
"Will Smith","HOU","0","0","0","","","","","","",".000","","0.0","","8048"
"Bryan Shaw","CLE","0","0","0","","","","","","",".000","","0.0","","8110"
"David Robertson","PHI","0","0","0","","","","","","",".000","","0.0","","8241"
"Paolo Espino","WSN","0","0","0","","","","","","",".000","","0.0","","8246"
"Lucas Luetge","NYY","0","0","0","","","","","","",".000","","0.0","","8337"
"Justin Verlander","HOU","0","0","0","","","","","","",".000","","0.0","","8700"
"Wade Miley","CHC","0","0","0","","","","","","",".000","","0.0","","8779"
"Nathan Eovaldi","BOS","0","0","0","","","","","","",".000","","0.0","","9132"
"Patrick Corbin","WSN","0","0","0","","","","","","",".000","","0.0","","9323"
"Joe Kelly","CHW","0","0","0","","","","","","",".000","","0.0","","9761"
"Miles Mikolas","STL","0","0","0","","","","","","",".000","","0.0","","9803"
"Tyler Matzek","ATL","0","0","0","","","","","","",".000","","0.0","","10058"
"Brooks Raley","TBR","0","0","0","","","","","","",".000","","0.0","","10061"
"Caleb Thielbar","MIN","0","0","0","","","","","","",".000","","0.0","","10078"
"Kyle Gibson","PHI","0","0","0","","","","","","",".000","","0.0","","10123"
"Brad Boxberger","MIL","0","0","0","","","","","","",".000","","0.0","","10133"
"Shelby Miller","SFG","0","0","0","","","","","","",".000","","0.0","","10197"
"Aroldis Chapman","NYY","0","0","0","","","","","","",".000","","0.0","","10233"
"Ryan Tepera","LAA","0","0","0","","","","","","",".000","","0.0","","10291"
"Zack Wheeler","PHI","0","0","0","","","","","","",".000","","0.0","","10310"
"Erasmo Ramirez","WSN","0","0","0","","","","","","",".000","","0.0","","10314"
"Aaron Loup","LAA","0","0","0","","","","","","",".000","","0.0","","10343"
"Mychal Givens","NYM","0","0","0","","","","","","",".000","","0.0","","10430"
"Scott Alexander","SFG","0","0","0","","","","","","",".000","","0.0","","10591"
"Andrew Bellatti","PHI","0","0","0","","","","","","",".000","","0.0","","10657"
"Drew Hutchison","DET","0","0","0","","","","","","",".000","","0.0","","10732"
"Jacob deGrom","NYM","0","0","0","","","","","","",".000","","0.0","","10954"
"Casey Lawrence","TOR","0","0","0","","","","","","",".000","","0.0","","11121"
"Merrill Kelly","ARI","0","0","0","","","","","","",".000","","0.0","","11156"
"Vince Velasquez","CHW","0","0","0","","","","","","",".000","","0.0","","11189"
"Tommy Kahnle","LAD","0","0","0","","","","","","",".000","","0.0","","11384"
"Jose Quintana","STL","0","0","0","","","","","","",".000","","0.0","","11423"
"Robbie Ray","SEA","0","0","0","","","","","","",".000","","0.0","","11486"
"Joely Rodriguez","NYM","0","0","0","","","","","","",".000","","0.0","","11487"
"Aaron Sanchez","MIN","0","0","0","","","","","","",".000","","0.0","","11490"
"Jose Urena","COL","0","0","0","","","","","","",".000","","0.0","","11589"
"Jameson Taillon","NYY","0","0","0","","","","","","",".000","","0.0","","11674"
"Drew Smyly","CHC","0","0","0","","","","","","",".000","","0.0","","11760"
"Noah Syndergaard","PHI","0","0","0","","","","","","",".000","","0.0","","11762"
"Hector Neris","HOU","0","0","0","","","","","","",".000","","0.0","","11804"
"Taijuan Walker","NYM","0","0","0","","","","","","",".000","","0.0","","11836"
"Chris Martin","LAD","0","0","0","","","","","","",".000","","0.0","","11847"
"Jason Adam","TBR","0","0","0","","","","","","",".000","","0.0","","11861"
"Yimi Garcia","TOR","0","0","0","","","","","","",".000","","0.0","","12095"
"Chris Bassitt","NYM","0","0","0","","","","","","",".000","","0.0","","12304"
"Jacob Barnes","NYY","0","0","0","","","","","","",".000","","0.0","","12323"
"Seth Lugo","NYM","0","0","0","","","","","","",".000","","0.0","","12447"
"Adrian Houser","MIL","0","0","0","","","","","","",".000","","0.0","","12718"
"Nick Martinez","SDP","0","0","0","","","","","","",".000","","0.0","","12730"
"Rafael Montero","HOU","0","0","0","","","","","","",".000","","0.0","","12760"
"Chris Devenski","PHI","0","0","0","","","","","","",".000","","0.0","","12763"
"John Brebbia","SFG","0","0","0","","","","","","",".000","","0.0","","12777"
"Mike Clevinger","SDP","0","0","0","","","","","","",".000","","0.0","","12808"
"Shawn Armstrong","TBR","0","0","0","","","","","","",".000","","0.0","","12857"
"Matt Barnes","BOS","0","0","0","","","","","","",".000","","0.0","","12863"
"Tyler Anderson","LAD","0","0","0","","","","","","",".000","","0.0","","12880"
"Dylan Bundy","MIN","0","0","0","","","","","","",".000","","0.0","","12917"
"Joe Musgrove","SDP","0","0","0","","","","","","",".000","","0.0","","12970"
"Andrew Chafin","DET","0","0","0","","","","","","",".000","","0.0","","12988"
"Yu Darvish","SDP","0","0","0","","","","","","",".000","","0.0","","13074"
"Gerrit Cole","NYY","0","0","0","","","","","","",".000","","0.0","","13125"
"Derek Law","CIN","0","0","0","","","","","","",".000","","0.0","","13133"
"Eduardo Rodriguez","DET","0","0","0","","","","","","",".000","","0.0","","13164"
"Zach Davies","ARI","0","0","0","","","","","","",".000","","0.0","","13183"
