sos2rank,team
1,ARI
2,CHI
3,MIA
4,NYG
5,LV
6,LAC
7,CAR
8,SF
9,GB
10,WAS
11,NE
12,KC
13,DAL
14,BUF
15,NYJ
16,LAR
17,MIN
18,JAC
19,TEN
20,SEA
21,HOU
22,DEN
23,PIT
24,PHI
25,IND
26,TB
27,BAL
28,CIN
29,ATL
30,DET
31,CLE
32,NO
