Name,Team,Barrel%,CSW%,Starting,Relieving,SO,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Porter Hodge","CHC",0,0.66666667,,0.5671711656355768,4,5,0,0,-68.8981863230596,96.47333333333333,126.68,130.06,"Porter Hodge",26413,687863
"Ryan Helsley","STL",0,0.34351145,,3.772902103296788,10,40,0,9,83.76769253659234,135.7940170940171,105.1820512820513,120.75470085470084,"Ryan Helsley",18138,664854
"Trevor Megill","MIL",0.05,0.38636364,,3.9416458317018415,13,33,0,7,40.126978293515066,154.18636363636364,104.17196969696973,119.64242424242424,"Trevor Megill",17722,656730
"Ryan Brasier","LAD",0,0.27272727,,0.5463492292055385,2,3,0,0,15.56795997235098,118.84545454545454,112.7,118.0090909090909,"Ryan Brasier",5615,518489
"Orion Kerkering","PHI",0.03030303,0.31937173,,2.6830525597407506,10,47,0,0,86.50714108845754,124.79528795811515,107.25340314136125,116.58691099476442,"Orion Kerkering",31776,689147
"Griffin Jax","MIN",0.08,0.34682081,,3.5817214432914937,13,42,0,1,78.31998067697684,128.4034682080925,103.62312138728325,116.5179190751445,"Griffin Jax",20253,643377
"Cole Sulser","NYM",0,0.46666667,,-0.6964878675314767,3,4,0,0,-33.88129378591487,111.44,108.55999999999999,115.90666666666668,"Cole Sulser",15256,642121
"Ryne Stanek","SEA",0.07407407,0.28467153,,2.1126671273901674,7,36,0,0,102.22648443560294,137.23576642335766,104.03722627737228,115.37445255474454,"Ryne Stanek",15947,592773
"Jimmy Herget","ATL",0,0.28571429,,0.23782230403560517,2,4,0,0,89.74184060974976,112.25238095238096,85.86666666666667,114.85238095238095,"Jimmy Herget",17556,623474
"Nick Pivetta","BOS",0.11111111,0.27083333,-1.1453004836532799,,20,78,4,0,91.75049431396083,145.27395833333333,109.39618055555555,114.72777777777777,"Nick Pivetta",15454,601713
"Evan Phillips","LAD",0,0.3125,,1.2997598919891604,4,11,0,1,48.534129144528215,125.31874999999998,107.93541666666668,114.25,"Evan Phillips",17734,623465
"Carlos Hernández","KCR",0.33333333,0.36363636,,0.046781835825834256,0,3,0,0,186.90011485479152,133.65454545454548,104.73636363636363,114.24545454545455,"Carlos Hernandez",22713,672578
"Adrian Morejon","SDP",0,0.3019802,,3.233864966414651,17,51,0,0,67.23758107117104,124.8529702970297,106.72772277227723,113.68762376237625,"Adrian Morejon",20039,670970
"Paul Sewald","ARI",0.05882353,0.25274725,,1.9207265261487914,7,25,0,4,85.61829777951418,114.85824175824176,107.16263736263737,113.67472527472528,"Paul Sewald",13892,623149
"Hunter Gaddis","CLE",0.07317073,0.30952381,,2.38785242603551,9,51,0,0,98.62998527030494,111.01785714285712,109.28690476190475,113.40238095238094,"Hunter Gaddis",25636,683769
"Hunter Strickland","LAA",0.02857143,0.245,,3.8043297262975044,10,47,0,0,91.52328572329013,111.76362045454545,104.7654717171717,113.35637777777778,"Hunter Strickland",7836,519326
"Yoendrys Gómez","NYY",,0.69230769,,0.38329978019388694,3,3,0,0,-75.95598131871498,97.26923076923077,119.22307692307693,113.30000000000001,"Yoendrys Gomez",22872,672782
"Emmanuel Clase","CLE",0.03125,0.26256983,,5.192110842674807,12,46,0,8,65.09891402074595,143.86641061452514,104.16682960893854,112.86277932960891,"Emmanuel Clase",21032,661403
"Cade Smith","CLE",0.08,0.37908497,,4.3120343303184745,15,41,0,1,39.26270554849558,118.95518207282912,107.31718020541547,112.59906629318392,"Cade Smith",27867,671922
"Tanner Bibee","CLE",0.06521739,0.25919118,6.190878293646419,,36,135,6,0,83.20799774790623,102.14797794117648,109.8095588235294,112.44613970588236,"Tanner Bibee",30134,676440
"Anthony Banda","LAD",0,0.2,,0.9886048975244867,2,9,0,0,68.62531088441605,84.12999999999998,115.17666666666668,112.40666666666667,"Anthony Banda",14706,607455
"Mason Miller","OAK",0,0.42073171,,6.91208367242438,22,39,0,4,-2.495245234907182,145.24146341463415,106.36219512195123,112.30060975609756,"Mason Miller",31757,695243
"Alex Faedo","DET",0.05128205,0.31092437,,3.0705329189008044,17,60,0,0,69.37147438090797,101.75588235294117,107.08487394957983,112.2373949579832,"Alex Faedo",19874,656412
"Justin Martinez","ARI",0,0.32178218,,1.565381650088641,15,46,0,0,65.21069218227508,115.68861386138612,108.38366336633663,112.13316831683169,"Justin Martinez",24453,679885
"Andrew Kittredge","STL",0.06451613,0.29090909,,-0.3114211909139021,12,46,0,0,83.93441881304985,115.40860927152319,104.65165562913906,112.12781456953643,"Andrew Kittredge",12828,552640
"Jesus Tinoco","TEX",0,0.275,,-0.8025535111774863,3,10,0,0,60.52073640449625,127.45250000000001,108.19000000000001,111.93249999999998,"Jesus Tinoco",16300,622786
"Gus Varland","LAD",0.11111111,0.29126214,,-0.9592830404577349,3,25,0,0,159.7901044427943,109.98252427184467,106.07766990291262,111.71067961165049,"Gus Varland",24737,681402
"Stephen Kolek","SDP",0.07692308,0.25625,,0.39470747765005604,5,45,0,0,95.0757463868703,103.09842672413792,111.72043103448277,111.49797413793104,"Stephen Kolek",21487,663568
"Paul Skenes","PIT",0.05555556,0.3032491,4.588604833294301,,21,62,3,0,57.42378606990278,112.38916967509024,104.81227436823104,111.47509025270757,"Paul Skenes",33677,694973
"Jared Jones","PIT",0.07142857,0.28666667,4.036890391832113,,29,119,5,0,90.8381260106898,126.94000000000001,104.69377777777777,111.446,"Jared Jones",27863,683003
"Xzavion Curry","CLE",0.05882353,0.28787879,-0.027933734295900788,,2,19,1,0,104.5486245130703,87.6030303030303,112.71515151515152,111.28181818181818,"Xzavion Curry",25595,675540
"Daysbel Hernández","ATL",0,0.24242424,,0.30102183427370777,1,10,0,0,126.82878092844913,134.48787878787877,105.15454545454546,111.04848484848485,"Daysbel Hernandez",20271,678226
"Ryan Thompson","ARI",0.03030303,0.31976744,,5.928469447275075,13,47,0,0,57.254872735056736,112.4263565891473,103.31937984496125,110.94532945736432,"Ryan Thompson",16647,657044
"Yimi García","TOR",0,0.27777778,,1.79101592743881,9,30,0,0,91.58216435892524,118.83703703703704,105.22810457516341,110.87314814814816,"Yimi Garcia",12095,554340
"Brock Stewart","MIN",0.2,0.33333333,,-1.056246605236271,2,7,0,0,62.957602298147584,123.55416666666667,107.425,110.675,"Brock Stewart",16727,592779
"Elvis Peguero","MIL",0.11111111,0.31884058,,2.5166996700938133,9,39,0,0,78.16473215836999,128.0253623188406,104.34637681159421,110.66014492753624,"Elvis Peguero",21652,665625
"Daniel Hudson","LAD",0.0952381,0.27272727,,1.3810305334773227,7,28,0,2,75.57547718195524,106.90991735537192,110.17024793388431,110.55123966942149,"Daniel Hudson",7146,543339
