Name,Team,PA,HR,SB,BABIP+,K%+,BB%+,ISO+,wRC+,Barrels,OPS,Barrel%,Off,EV,NameASCII,PlayerId,MLBAMID
"Austin Riley","ATL",2,0,0,343.65136498625424,224.87785651819382,0,0,191.10362019113575,0,1,0,0.21257081425100965,105.47537994384766,"Austin Riley",18360,663586
"Jahmai Jones","NYY",4,1,1,0,0,304.3397009175786,981.6824214092211,489.5871946649856,1,2.75,0.5,1.981006786795891,102.580322265625,"Jahmai Jones",18872,663330
"Luke Williams","ATL",3,0,0,0,149.91857086221066,0,0,52.46514480767119,1,0.333333333,1,-0.8766244886768995,102.02671813964844,"Luke Williams",19931,663897
"Akil Baddoo","DET",1,0,0,352.3695428265147,0,0,1308.9098952122947,991.2950437987736,0,4,0,1.2202406147283393,101.27853393554688,"Akil Baddoo",22168,668731
"Aaron Judge","NYY",58,8,0,169.13738055672704,92.86427307999446,272.8562835392995,475.96723444416494,355.046387190706,20,1.750783698,0.60606061,16.82128519159716,100.29492603648792,"Aaron Judge",15640,592450
"Oneil Cruz","PIT",53,1,1,105.73888129631959,178.20509380217663,108.56058612213984,131.07038892646946,80.1096581348376,11,0.639150943,0.40740741,-1.046286175349302,99.67164611816406,"Oneil Cruz",21711,665833
"Dominic Fletcher","CHW",7,0,0,0,192.36170893962935,173.90839948088026,0,-44.64857751427458,1,0.142857142,0.33333333,-1.171381993133807,98.90169779459636,"Dominic Fletcher",26149,666150
"Trey Cabbage","HOU",6,0,0,88.09238570662868,149.6146625584722,0,0,-9.126596973812863,1,0.333333332,0.25,-0.7624121141156216,98.86506080627441,"Trey Cabbage",21078,663550
"Yan Gomes","CHC",11,0,0,0,163.5475317270237,0,0,-100,1,0,0.14285714,-2.664366208390735,96.9395991734096,"Yan Gomes",9627,543228
"Corey Seager","TEX",49,5,0,91.35506656737097,64.12056934731379,248.4405713826054,251.7134416386932,205.97173090520644,8,1.141287283,0.25,5.37471675023787,96.71927452087402,"Corey Seager",13624,608369
"Edmundo Sosa","PHI",33,2,1,163.6435070708541,95.40272695320276,69.74195207347317,302.91823195260423,255.78550559521088,1,1.287878787,0.04347826,6.392216375227092,96.64859078147195,"Edmundo Sosa",17022,624641
"Yandy Díaz","TBR",56,2,0,88.09238570662868,32.060284673656895,130.43130021933956,104.7127916169836,123.65968166292234,3,0.759285714,0.06521739,1.0778919860625393,96.0832990563434,"Yandy Diaz",16578,650490
"Ji Hwan Bae","PIT",11,0,2,85.91284124656356,40.886882594439136,209.2258573711617,0,83.98239854411709,0,0.585858585,0,-0.23445113412311894,96.012451171875,"Ji Hwan Bae",23818,678225
"Ketel Marte","ARI",50,1,0,101.07393085809528,116.9364853894608,46.029688828789176,74.36617760861888,67.4654138307436,3,0.600425531,0.08571429,-1.8586958864230092,95.82068830217634,"Ketel Marte",13613,606466
"Shohei Ohtani","LAD",52,2,4,117.823324843586,95.14063136167509,66.38897347562438,145.633765939883,142.51600036396954,2,0.846153846,0.05405405,3.142119071696656,95.68155076768663,"Shohei Ohtani",19755,660271
