"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","SwStr%","TTO%","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","HardHit%","playerid"
"Starling Marte","NYM","505","16","18","20.8","136",".355","114","6.8%","-0.2","6.5","10.8%","27.5%","62","85","97","86.8","113.3",".336","33.9%","9241"
"Kyle Schwarber","PHI","669","46","10","21.3","128",".355","185","20.1%","-0.8","5.2","11.0%","49.6%","154","132","78","93.3","114.8",".375","54.4%","16478"
"J.T. Realmuto","PHI","562","22","21","24.9","128",".354","131","11.3%","6.6","6.9","11.4%","32.4%","87","94","110","90.3","110.4",".351","46.7%","11739"
"Adley Rutschman","BAL","470","13","4","22.5","133",".354","128","7.9%","5.0","4.2","6.3%","34.9%","174","82","82","87.9","110.9",".342","36.8%","26288"
"Brandon Nimmo","NYM","673","16","3","26.6","134",".353","102","7.0%","-0.3","4.7","7.6%","30.2%","126","76","119","89.4","111.9",".342","39.8%","12927"
"Anthony Rizzo","NYY","548","32","6","16.4","133",".352","171","10.9%","-3.6","3.7","9.8%","34.9%","133","83","90","89.4","113.3",".349","40.7%","3473"
"George Springer","TOR","583","25","14","25.7","132",".352","137","8.3%","4.6","6.0","13.3%","30.7%","116","77","94","88.7","113.6",".342","41.9%","12856"
"Jake Fraley","CIN","247","12","4","7.6","121",".352","134","7.3%","1.6","3.6","10.9%","37.2%","126","97","107","85.1","110.0",".333","27.4%","19260"
"Vladimir Guerrero Jr.","TOR","706","32","8","19.3","132",".351","138","11.2%","-6.0","3.1","10.9%","29.2%","103","74","92","92.8","118.4",".348","50.4%","19611"
"Trea Turner","LAD","708","21","27","29.6","128",".350","109","7.6%","6.5","6.4","12.8%","27.8%","76","82","89","88.9","112.5",".335","41.4%","16252"
"Brandon Drury","- - -","568","28","2","11.5","123",".350","148","10.4%","-3.6","3.5","8.6%","33.8%","80","98","92","89.1","112.4",".316","41.7%","11615"
"Luis Arraez","MIN","603","8","4","21.0","131",".350","70","3.6%","-0.2","3.0","2.5%","16.7%","104","32","123","88.9","107.3",".333","30.2%","18568"
"Daniel Vogelbach","- - -","461","18","0","11.7","128",".349","125","10.6%","-3.3","1.5","5.9%","44.5%","190","109","97","89.4","110.9",".350","39.9%","14130"
"Bryan Reynolds","PIT","614","27","7","16.0","125",".349","129","7.9%","-2.1","4.5","13.0%","36.5%","109","102","100","90.2","113.2",".329","42.9%","19326"
"Brendan Donovan","STL","468","5","2","14.0","129",".349","63","3.4%","-1.9","2.9","5.4%","28.8%","153","66","123","87.7","107.0",".339","37.7%","24679"
"Will Smith","LAD","578","24","1","14.9","127",".349","132","10.3%","-3.6","2.9","7.2%","30.4%","116","73","103","89.9","109.0",".352","43.0%","19197"
"Teoscar Hernandez","TOR","535","25","6","15.0","129",".348","150","15.0%","-2.5","3.8","15.6%","39.4%","80","128","102","92.6","114.1",".351","52.7%","13066"
"Kyle Tucker","HOU","609","30","25","23.9","129",".348","148","10.1%","4.0","4.9","9.8%","30.2%","122","70","91","90.0","111.3",".353","41.9%","18345"
"Bo Bichette","TOR","697","24","13","20.1","129",".347","120","9.6%","-2.7","3.8","11.4%","31.6%","74","100","137","91.9","112.4",".334","50.3%","19612"
"Alejandro Kirk","TOR","541","14","0","10.4","129",".347","87","6.7%","-7.1","1.1","5.8%","25.0%","146","48","119","90.5","110.1",".351","45.0%","22581"
"Hunter Renfroe","MIL","522","29","1","12.9","124",".347","152","10.9%","-1.6","2.2","11.8%","36.2%","89","103","95","90.5","112.5",".323","43.3%","15464"
"Christian Walker","ARI","667","36","2","16.9","122",".346","152","11.5%","-0.3","2.7","10.2%","35.4%","124","87","95","90.0","112.6",".359","44.0%","13419"
"Rhys Hoskins","PHI","672","30","2","13.8","122",".345","139","11.1%","-3.4","2.8","9.9%","40.3%","128","111","92","90.1","112.2",".338","44.2%","16472"
"Michael Brantley","HOU","277","5","1","7.7","127",".345","85","6.0%","-0.7","2.5","4.8%","23.8%","141","49","84","89.8","108.2",".374","45.1%","4106"
"Eugenio Suarez","SEA","629","31","0","19.3","131",".344","149","14.8%","-2.5","2.2","12.8%","47.7%","146","140","95","89.8","111.4",".339","43.5%","12552"
"Austin Slater","SFG","325","7","12","12.7","124",".344","93","10.5%","3.5","6.8","12.8%","41.8%","147","121","98","89.0","109.4",".351","39.5%","16153"
"Matt Olson","ATL","699","34","0","15.4","120",".344","153","13.6%","-0.8","1.2","12.8%","39.9%","128","108","90","92.9","116.8",".347","50.9%","14344"
"Josh Bell","- - -","647","17","0","11.3","123",".344","101","7.2%","-5.6","2.4","8.8%","30.9%","150","70","104","88.9","112.2",".349","40.5%","13145"
"Mark Canha","NYM","542","13","3","16.7","128",".343","88","4.9%","-1.0","3.1","8.5%","29.2%","106","79","117","87.7","108.0",".323","36.3%","11445"
"Travis d'Arnaud","ATL","426","18","0","6.1","120",".343","132","8.5%","-3.6","2.5","13.3%","29.8%","53","93","101","88.5","112.3",".313","38.6%","7739"
"J.D. Martinez","BOS","596","16","0","5.8","119",".343","117","12.4%","-7.3","2.1","14.6%","35.7%","110","110","118","89.1","111.6",".349","41.4%","6184"
"Justin Turner","LAD","532","13","3","11.4","123",".343","103","8.0%","-3.1","2.8","8.9%","28.6%","112","74","119","89.5","108.9",".339","40.6%","5235"
"Lars Nootbaar","STL","347","14","4","11.3","125",".342","142","12.1%","1.4","5.5","8.6%","39.2%","176","90","85","91.7","113.0",".346","46.0%","21454"
"Andrew Benintendi","- - -","521","5","8","13.6","122",".342","64","5.1%","0.6","4.1","8.9%","25.7%","125","67","115","89.2","109.8",".334","38.5%","17901"
