"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"Trea Turner","LAD","708","21","27","29.6","128",".350","109","7.6%","6.5","6.4","76","82","89","88.9","112.5",".335","16252"
"Brandon Drury","- - -","568","28","2","11.5","123",".350","148","10.4%","-3.6","3.5","80","98","92","89.1","112.4",".316","11615"
"Luis Arraez","MIN","603","8","4","21.0","131",".350","70","3.6%","-0.2","3.0","104","32","123","88.9","107.3",".333","18568"
"Daniel Vogelbach","- - -","461","18","0","11.7","128",".349","125","10.6%","-3.3","1.5","190","109","97","89.4","110.9",".350","14130"
"Bryan Reynolds","PIT","614","27","7","16.0","125",".349","129","7.9%","-2.1","4.5","109","102","100","90.2","113.2",".329","19326"
"Brendan Donovan","STL","468","5","2","14.0","129",".349","63","3.4%","-1.9","2.9","153","66","123","87.7","107.0",".339","24679"
"Will Smith","LAD","578","24","1","14.9","127",".349","132","10.3%","-3.6","2.9","116","73","103","89.9","109.0",".352","19197"
"Teoscar Hernandez","TOR","535","25","6","15.0","129",".348","150","15.0%","-2.5","3.8","80","128","102","92.6","114.1",".351","13066"
"Kyle Tucker","HOU","609","30","25","23.9","129",".348","148","10.1%","4.0","4.9","122","70","91","90.0","111.3",".353","18345"
"Bo Bichette","TOR","697","24","13","20.1","129",".347","120","9.6%","-2.7","3.8","74","100","137","91.9","112.4",".334","19612"
"Alejandro Kirk","TOR","541","14","0","10.4","129",".347","87","6.7%","-7.1","1.1","146","48","119","90.5","110.1",".351","22581"
"Hunter Renfroe","MIL","522","29","1","12.9","124",".347","152","10.9%","-1.6","2.2","89","103","95","90.5","112.5",".323","15464"
"Christian Walker","ARI","667","36","2","16.9","122",".346","152","11.5%","-0.3","2.7","124","87","95","90.0","112.6",".359","13419"
"Rhys Hoskins","PHI","672","30","2","13.8","122",".345","139","11.1%","-3.4","2.8","128","111","92","90.1","112.2",".338","16472"
"Michael Brantley","HOU","277","5","1","7.7","127",".345","85","6.0%","-0.7","2.5","141","49","84","89.8","108.2",".374","4106"
"Eugenio Suarez","SEA","629","31","0","19.3","131",".344","149","14.8%","-2.5","2.2","146","140","95","89.8","111.4",".339","12552"
"Austin Slater","SFG","325","7","12","12.7","124",".344","93","10.5%","3.5","6.8","147","121","98","89.0","109.4",".351","16153"
"Matt Olson","ATL","699","34","0","15.4","120",".344","153","13.6%","-0.8","1.2","128","108","90","92.9","116.8",".347","14344"
"Josh Bell","- - -","647","17","0","11.3","123",".344","101","7.2%","-5.6","2.4","150","70","104","88.9","112.2",".349","13145"
"Mark Canha","NYM","542","13","3","16.7","128",".343","88","4.9%","-1.0","3.1","106","79","117","87.7","108.0",".323","11445"
"Travis d'Arnaud","ATL","426","18","0","6.1","120",".343","132","8.5%","-3.6","2.5","53","93","101","88.5","112.3",".313","7739"
"J.D. Martinez","BOS","596","16","0","5.8","119",".343","117","12.4%","-7.3","2.1","110","110","118","89.1","111.6",".349","6184"
"Justin Turner","LAD","532","13","3","11.4","123",".343","103","8.0%","-3.1","2.8","112","74","119","89.5","108.9",".339","5235"
"Lars Nootbaar","STL","347","14","4","11.3","125",".342","142","12.1%","1.4","5.5","176","90","85","91.7","113.0",".346","21454"
"Andrew Benintendi","- - -","521","5","8","13.6","122",".342","64","5.1%","0.6","4.1","125","67","115","89.2","109.8",".334","17901"
"Francisco Lindor","NYM","706","26","16","25.4","127",".342","116","8.3%","3.3","5.6","100","83","98","89.3","110.7",".331","12916"
"Steven Kwan","CLE","638","6","19","22.0","124",".341","68","1.4%","4.9","6.2","122","42","136","85.1","107.1",".312","24610"
"Oscar Gonzalez","CLE","382","11","1","8.3","122",".339","111","7.3%","-1.3","1.6","49","88","77","88.6","113.3",".320","20970"
"Ian Happ","CHC","641","17","9","15.2","120",".339","109","6.5%","0.7","3.9","108","103","101","89.7","113.9",".306","17919"
"Dylan Moore","SEA","255","6","21","10.1","126",".338","108","12.8%","2.5","8.3","167","132","92","87.2","110.5",".322","18042"
"Dansby Swanson","ATL","696","25","18","15.8","116",".337","110","10.8%","3.1","4.8","84","116","102","90.2","109.6",".337","18314"
"Ty France","SEA","613","20","0","14.9","126",".337","108","5.4%","-2.8","1.5","72","69","111","87.6","110.4",".321","17982"
"Jake McCarthy","ARI","354","8","23","14.3","116",".337","92","4.8%","7.7","7.6","78","95","103","87.4","108.3",".298","21622"
"Kolten Wong","MIL","497","15","17","13.0","117",".336","116","5.4%","3.4","6.1","111","78","104","87.0","109.7",".305","12532"
"Anthony Santander","BAL","647","33","0","15.0","120",".336","144","11.6%","0.3","1.6","107","85","81","90.1","112.0",".352","14551"
"Randy Arozarena","TBR","645","20","32","13.8","125",".336","122","7.9%","-4.3","5.6","90","109","91","89.9","114.1",".301","19290"
"Ronald Acuna Jr.","ATL","533","15","29","13.7","114",".335","95","12.8%","4.8","4.9","119","105","83","91.2","116.6",".366","18401"
"C.J. Cron","COL","632","29","0","1.5","101",".335","136","10.8%","0.5","2.4","81","115","107","88.6","115.5",".321","12546"
