Team,PFFRank
PHI,1
DET,2
ATL,3
CLE,4
MIN,5
IND,6
KC,7
NYJ,8
CHI,9
DAL,10
CAR,11
LV,12
LAR,13
WAS,14
DEN,15
SF,16
NE,17
LAC,18
CIN,19
MIA,20
BAL,21
BUF,22
GB,23
PIT,24
NYG,25
ARI,26
NO,27
TEN,28
SEA,29
TB,30
JAC,31
HOU,32
