Hitters Last 7 Days
PlayerId,Name,Team,PA,HR,SB,BABIP,K,BB,ISO,wRC,Barrels,OPS,Barrel,Off,EV,NameASCII,MLBAMID,Total Z-Score
20531,Kutter Crawford,BOS,3.47,0.16,0.07,0.27,15.91,,261,11,0,102.09,105.84,102.96,104.38,Kutter Crawford,676710,8.42
33825,Yoshinobu Yamamoto,LAD,3.5,0.23,0.1,0.32,11.92,,220,10,0,73.79,100.37,105.29,106.58,Yoshinobu Yamamoto,808967,8.26
27463,Garrett Crochet,CHW,2.18,0.27,0.06,0.29,13.76,,229,11,0,68.65,107.53,102.62,103.95,Garrett Crochet,676979,8.22

RP 10 Innings
PlayerId,Name,Team,xERA,K-BB,Barrel,CSW,Starting,Relieving,TBF,GS,SV,XFIPMinus,Stuff,Location,Pitching,NameASCII,MLBAMID,Total Z-Score
31757,Mason Miller,OAK,0.99,0.46,0.0,0.42,,14.52,84,0,10,15.01,150.95,105.39,109.92,Mason Miller,695243,15.5
18138,Ryan Helsley,STL,1.72,0.22,0.02,0.32,,8.42,90,0,16,74.24,131.55,105.55,119.08,Ryan Helsley,664854,12.85
13649,Clay Holmes,NYY,2.76,0.21,0.05,0.34,,7.68,97,0,15,60.92,128.82,101.95,108.46,Clay Holmes,605280,11.57
30115,Robert Suarez,SDP,2.52,0.2,0.09,0.25,,6.25,79,0,14,95.03,136.81,103.97,108.99,Robert Suarez,663158,10.27
17722,Trevor Megill,MIL,2.25,0.27,0.06,0.34,,5.84,56,0,8,79.29,155.75,101.65,116.4,Trevor Megill,656730,9.34

SP 30 Innings
PlayerId,Name,Team,xERA,K-BB,Barrel,CSW,Starting,Relieving,TBF,GS,SV,XFIPMinus,Stuff,Location,Pitching,NameASCII,MLBAMID,Total Z-Score
27863,Jared Jones,PIT,3.21,0.25,0.09,0.32,9.67,,231,10,0,74.27,132.32,104.9,112.79,Jared Jones,683003,9.59
19879,Tanner Houck,BOS,3.26,0.19,0.04,0.32,19.01,,257,10,0,70.36,108.74,102.84,108.38,Tanner Houck,656557,9.58
21846,Cole Ragans,KCR,3.3,0.22,0.06,0.3,17.59,,255,11,0,75.75,110.26,100.14,104.33,Cole Ragans,666142,9.35
20633,Yusei Kikuchi,TOR,2.68,0.2,0.07,0.29,16.5,,236,10,0,77.55,109.02,103.11,105.82,Yusei Kikuchi,579328,8.75
22182,Hunter Greene,CIN,2.56,0.17,0.04,0.26,16.86,,266,11,0,100.24,125.56,97.92,105.48,Hunter Greene,668881,8.71
12447,Seth Lugo,KCR,3.73,0.16,0.09,0.29,15.06,,284,11,0,94.94,98.92,100.76,100.31,Seth Lugo,607625,8.68
10603,Chris Sale,ATL,2.5,0.28,0.04,0.34,16.37,,221,9,0,61.26,107.3,102.82,101.19,Chris Sale,519242,8.61
17479,Jack Flaherty,DET,2.76,0.3,0.05,0.35,12.84,,243,10,0,49.96,97.76,104.44,104.34,Jack Flaherty,656427,8.51
20531,Kutter Crawford,BOS,3.47,0.16,0.07,0.27,15.91,,261,11,0,102.09,105.84,102.96,104.38,Kutter Crawford,676710,8.42
33825,Yoshinobu Yamamoto,LAD,3.5,0.23,0.1,0.32,11.92,,220,10,0,73.79,100.37,105.29,106.58,Yoshinobu Yamamoto,808967,8.26
27463,Garrett Crochet,CHW,2.18,0.27,0.06,0.29,13.76,,229,11,0,68.65,107.53,102.62,103.95,Garrett Crochet,676979,8.22

Pitchers Last 14 Days
PlayerId,Name,Team,Barrel,CSW,Starting,Relieving,SO,TBF,GS,SV,XFIPMinus,Stuff,Location,Pitching,NameASCII,MLBAMID,Total Z-Score
21846,Cole Ragans,KCR,0.09,0.31,5.08,,19,46,2,0,66.08,98.74,101.24,104.73,Cole Ragans,666142,9.35
22182,Hunter Greene,CIN,0.02,0.25,5.75,,18,75,3,0,88.82,116.8,101.38,108.15,Hunter Greene,668881,8.71
12447,Seth Lugo,KCR,0.1,0.32,7.14,,25,81,3,0,69.44,98.72,102.54,102.03,Seth Lugo,607625,8.68
10603,Chris Sale,ATL,0.0,0.32,5.88,,18,51,2,0,56.48,97.16,104.21,100.45,Chris Sale,519242,8.61

RP Last 14 Days
PlayerId,Name,Team,Barrel,CSW,Starting,Relieving,SO,TBF,GS,SV,XFIPMinus,Stuff,Location,Pitching,NameASCII,MLBAMID,Total Z-Score
31757,Mason Miller,OAK,0.0,0.43,,3.6,12,24,0,2,14.13,140.49,102.29,109.16,Mason Miller,695243,15.5
18138,Ryan Helsley,STL,0.0,0.36,,1.69,5,21,0,5,94.69,134.9,103.97,113.26,Ryan Helsley,664854,12.85
13649,Clay Holmes,NYY,0.06,0.35,,0.53,5,26,0,3,99.04,133.41,105.52,107.65,Clay Holmes,605280,11.57
26413,Porter Hodge,CHC,0.0,0.67,,0.57,4,5,0,0,-68.9,96.47,126.68,130.06,Porter Hodge,687863,10.64
30115,Robert Suarez,SDP,0.08,0.24,,2.82,6,20,0,2,97.98,133.13,101.18,104.09,Robert Suarez,663158,10.27
17722,Trevor Megill,MIL,0.11,0.38,,2.06,10,19,0,4,13.82,158.54,102.4,121.11,Trevor Megill,656730,9.34

Pitchers Last 30 Days
PlayerId,Name,Team,Barrel,CSW,Starting,Relieving,SO,TBF,GS,SV,XFIPMinus,Stuff,Location,Pitching,NameASCII,MLBAMID,Total Z-Score
19879,Tanner Houck,BOS,0.03,0.31,9.37,,30,127,5,0,70.98,110.15,103.27,110.13,Tanner Houck,656557,9.58
21846,Cole Ragans,KCR,0.07,0.3,8.26,,39,122,5,0,72.51,110.55,100.83,106.6,Cole Ragans,666142,9.35
20633,Yusei Kikuchi,TOR,0.08,0.28,8.55,,28,125,5,0,85.17,110.18,104.76,107.71,Yusei Kikuchi,579328,8.75
22182,Hunter Greene,CIN,0.03,0.25,9.87,,35,145,6,0,101.55,119.41,99.62,105.52,Hunter Greene,668881,8.71
12447,Seth Lugo,KCR,0.1,0.32,10.85,,47,158,6,0,75.02,100.51,101.87,101.46,Seth Lugo,607625,8.68
10603,Chris Sale,ATL,0.01,0.34,12.54,,43,123,5,0,50.85,104.65,103.91,102.3,Chris Sale,519242,8.61
17479,Jack Flaherty,DET,0.01,0.34,8.36,,45,119,5,0,34.39,98.59,105.05,105.28,Jack Flaherty,656427,8.51
20531,Kutter Crawford,BOS,0.06,0.27,6.2,,31,151,6,0,105.33,106.71,106.17,106.5,Kutter Crawford,676710,8.42
27463,Garrett Crochet,CHW,0.08,0.3,9.56,,34,104,5,0,63.11,104.03,103.93,104.72,Garrett Crochet,676979,8.22

RP Last 30 Days
PlayerId,Name,Team,Barrel,CSW,Starting,Relieving,SO,TBF,GS,SV,XFIPMinus,Stuff,Location,Pitching,NameASCII,MLBAMID,Total Z-Score
31757,Mason Miller,OAK,0.0,0.42,,6.91,22,39,0,4,-2.5,145.24,106.36,112.3,Mason Miller,695243,15.5
18138,Ryan Helsley,STL,0.0,0.34,,3.77,10,40,0,9,83.77,135.79,105.18,120.75,Ryan Helsley,664854,12.85
13649,Clay Holmes,NYY,0.04,0.38,,3.35,16,47,0,6,51.5,135.39,104.98,110.26,Clay Holmes,605280,11.57
26413,Porter Hodge,CHC,0.0,0.67,,0.57,4,5,0,0,-68.9,96.47,126.68,130.06,Porter Hodge,687863,10.64
30115,Robert Suarez,SDP,0.12,0.23,,5.58,11,37,0,5,97.78,135.19,104.61,108.0,Robert Suarez,663158,10.27
17722,Trevor Megill,MIL,0.05,0.39,,3.94,13,33,0,7,40.13,154.19,104.17,119.64,Trevor Megill,656730,9.34

