Team,CBSOLineRank
KC,1
PHI,2
CIN,3
LAC,4
BUF,5
SF,6
JAC,7
DAL,8
BAL,9
DET,10
MIA,11
SEA,12
MIN,13
DEN,14
NYG,15
CLE,16
NYJ,17
LV,18
LAR,19
ATL,20
NO,21
NE,22
CAR,23
WAS,24
GB,25
CHI,26
IND,27
PIT,28
TB,29
HOU,30
TEN,31
ARI,32
