"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Bryan Baker","BAL","3.3%","28.6%","","3.8","14","47","0","1","76","169","0","60","81","19804"
"Eli Morgan","CLE","3.3%","29.0%","","2.8","10","43","0","0","92","120","0","57","70","20203"
"Dylan Lee","ATL","3.6%","32.4%","","3.0","15","46","0","0","86","183","64","49","51","19996"
"Fernando Cruz","CIN","3.4%","31.0%","1.3","1.0","18","55","2","0","84","94","64","93","86","7048"
"Adam Cimber","TOR","7.0%","22.9%","","-0.1","8","57","0","0","120","144","68","97","100","15288"
"Scott Alexander","SFG","5.0%","25.2%","1.3","-0.6","4","45","4","2","83","147","68","65","70","10591"
"Hunter Greene","CIN","4.7%","35.7%","8.9","","37","90","4","0","57","194","35","65","90","22182"
"Jose Quintana","STL","1.1%","26.4%","11.5","","28","121","6","0","81","257","0","59","82","11423"
"Cionel Perez","BAL","6.7%","29.2%","","2.5","10","43","0","0","81","120","0","82","93","19614"
"Andres Munoz","SEA","4.3%","40.5%","","3.9","11","35","0","1","60","397","0","48","76","20373"
"Nathan Eovaldi","BOS","7.1%","25.0%","3.1","","7","37","2","0","109","126","0","74","87","9132"
"Alex Vesia","LAD","11.8%","29.6%","","4.2","16","37","0","0","73","147","0","65","81","25007"
"Ryne Stanek","HOU","10.0%","32.9%","","2.8","13","36","0","0","68","157","0","77","105","15947"
"Aaron Bummer","CHW","3.7%","30.0%","","1.3","9","37","0","1","53","325","93","106","134","16258"
"DL Hall","BAL","0.0%","33.1%","","2.9","11","36","0","1","57","199","0","92","121","22207"
"Tommy Kahnle","LAD","5.6%","31.5%","","2.1","9","30","0","1","70","330","0","27","38","11384"
"Luis Ortiz","SFG","8.3%","28.0%","","0.9","6","33","0","0","112","73","0","72","71","16942"
"Alek Manoah","TOR","2.2%","28.3%","7.3","","27","128","5","0","116","89","50","69","64","26410"
"Joe Kelly","CHW","0.0%","38.2%","","3.7","16","30","0","0","19","193","0","80","159","9761"
"Justin Verlander","HOU","0.0%","28.6%","10.4","","31","84","4","0","66","373","0","52","87","8700"
"Zach Eflin","PHI","0.0%","35.9%","","2.8","9","28","0","1","54","","0","41","76","13774"
"Drew Smyly","CHC","5.0%","28.0%","4.1","","15","59","3","0","78","183","54","63","70","11760"
"Shohei Ohtani","LAA","1.6%","27.9%","10.5","","38","112","5","0","61","125","0","69","84","19755"
"Carlos Estevez","COL","11.8%","20.3%","","0.6","7","26","0","0","101","128","111","43","21","14542"
"Domingo Acevedo","OAK","6.3%","31.3%","","1.1","9","26","0","4","47","325","114","76","116","17092"
"Hunter Brown","HOU","5.6%","31.7%","2.0","1.5","17","59","1","0","74","102","0","100","116","25880"
"Dylan Floro","MIA","2.7%","29.0%","","4.1","14","55","0","7","79","128","0","71","83","13394"
"Nestor Cortes","NYY","1.6%","29.7%","9.0","","30","101","5","0","82","135","0","58","66","17874"
"A.J. Minter","ATL","3.4%","33.5%","","3.1","18","52","0","0","75","132","60","74","86","18655"
"Adrian Sampson","CHC","7.0%","23.8%","4.3","","19","128","6","0","117","87","73","79","81","13339"
"Tyler Glasnow","TBR","21.4%","31.6%","1.2","","10","26","2","0","65","181","125","72","80","14374"
"Jesus Tinoco","TEX","5.7%","28.2%","-0.4","0.8","11","54","2","0","135","57","64","86","62","16300"
"Taylor Widener","ARI","2.5%","25.9%","","1.3","11","56","0","0","119","134","64","99","105","19266"
"Drey Jameson","ARI","7.6%","27.6%","5.0","","24","98","4","0","75","126","67","87","96","26260"
"Clayton Kershaw","LAD","4.4%","33.7%","10.9","","43","138","6","0","59","315","68","67","91","2036"
"Tanner Banks","CHW","9.1%","36.7%","","0.6","9","21","0","0","33","325","139","40","35","16990"
"Julio Urias","LAD","6.0%","28.3%","3.0","","27","117","5","0","92","141","139","80","79","14765"
"Rafael Montero","HOU","3.7%","29.7%","","2.7","12","41","0","2","72","217","72","48","54","12760"
"Kevin Ginkel","ARI","3.4%","30.5%","","3.5","13","46","0","1","83","119","0","74","83","19876"
"Daniel Norris","DET","4.0%","31.0%","","2.3","12","39","0","0","65","217","0","49","70","13475"
"Matthew Boyd","SEA","3.8%","34.1%","","1.6","13","45","0","0","94","94","0","70","67","15440"
"Gregory Soto","DET","0.0%","23.9%","","2.4","11","51","0","6","117","57","0","113","95","19677"
"Zach Pop","TOR","6.5%","29.3%","","1.9","9","43","0","0","78","163","0","77","101","20185"
"Brandon Woodruff","MIL","4.8%","32.9%","10.4","","54","146","6","0","59","247","84","62","82","16162"
"Steve Cishek","WSN","14.8%","27.3%","","-0.4","9","40","0","0","101","165","148","50","41","6483"
"Adam Ottavino","NYM","0.0%","33.1%","","2.4","14","41","0","0","56","257","0","64","100","1247"
"Collin McHugh","ATL","8.0%","29.0%","","2.5","14","41","0","0","49","257","74","64","86","7531"
"Cody Morris","CLE","10.5%","26.3%","1.5","0.7","20","87","4","0","104","72","77","99","95","25388"
"Luis Severino","NYY","5.9%","28.6%","5.5","","17","56","3","0","74","123","0","50","51","15890"
"Steven Matz","STL","0.0%","35.4%","","1.1","3","21","0","0","106","110","0","59","60","13361"
"Emilio Pagan","MIN","4.3%","28.6%","","1.7","15","43","0","0","67","108","0","82","91","14771"
"Keegan Thompson","CHC","5.6%","32.5%","","1.7","17","41","0","1","62","104","77","66","40","19795"
"Camilo Doval","SFG","0.0%","29.2%","","2.8","12","43","0","7","64","110","0","88","105","21992"
"Carl Edwards Jr.","WSN","6.3%","25.8%","","-0.3","8","43","0","0","113","98","153","117","126","13607"
"Logan Gillaspie","BAL","7.7%","30.1%","","-0.6","5","20","0","0","95","181","157","60","58","22461"
"Joey Wentz","DET","6.9%","24.6%","3.3","","22","106","5","0","121","72","64","80","65","19962"
"Garrett Cleavinger","TBR","3.3%","37.2%","","3.2","21","55","0","0","58","190","55","47","48","17897"
"Jose Leclerc","TEX","4.0%","30.8%","","2.9","13","46","0","5","119","67","0","112","98","14524"
"James Kaprielian","OAK","5.8%","26.7%","6.9","","22","98","4","0","87","114","0","80","91","18331"
"David Bednar","PIT","7.1%","29.0%","","1.3","6","22","0","2","71","110","0","125","147","19569"
"Caleb Thielbar","MIN","4.0%","32.0%","","6.0","16","42","0","0","53","578","0","88","140","10078"
"Drew Smith","NYM","0.0%","29.2%","","0.2","6","20","0","0","78","220","163","94","114","17755"
"Thomas Szapucki","SFG","8.3%","25.9%","","0.5","9","37","0","0","108","82","84","81","74","21065"
"Andre Jackson","LAD","6.9%","25.0%","","2.1","9","42","0","1","101","82","0","105","106","21298"
"Andrew Bellatti","PHI","13.0%","29.9%","","1.7","11","40","0","0","98","67","0","105","104","10657"
"Bryan Abreu","HOU","4.8%","31.5%","","1.6","15","41","0","0","58","108","86","116","140","16609"
"Zack Thompson","STL","8.0%","28.2%","","-0.1","9","39","0","0","101","66","84","81","57","25918"
"Jeffrey Springs","TBR","4.8%","31.5%","6.9","","27","116","6","0","93","195","58","72","82","17677"
"Eduard Bazardo","BOS","4.9%","26.5%","","-1.4","10","57","0","0","126","90","175","78","64","20997"
"Jimmy Herget","LAA","0.0%","29.0%","","3.8","10","52","0","4","107","181","0","61","80","17556"
"Sandy Alcantara","MIA","3.0%","28.1%","9.8","","37","143","5","0","67","452","64","70","98","18684"
"Zack Greinke","KCR","3.9%","22.3%","6.2","","9","117","5","0","123","54","0","104","106","1943"
"Triston McKenzie","CLE","6.8%","33.1%","11.0","","36","127","5","0","74","433","51","70","97","18000"
"Yohan Ramirez","PIT","0.0%","26.9%","","2.1","11","59","0","1","87","81","0","89","92","19444"
"Chi Chi Gonzalez","NYY","14.3%","24.7%","0.9","","3","20","1","0","152","36","0","120","100","14663"
"Zach Plesac","CLE","0.0%","22.7%","0.6","0.3","1","22","1","0","149","36","0","137","122","19979"
"Greg Weissert","NYY","6.7%","21.2%","","-1.1","2","18","0","0","130","72","179","68","50","20375"
"Kenley Jansen","ATL","14.3%","31.3%","","2.8","20","52","0","10","65","244","119","57","66","3096"
"Bailey Ober","MIN","14.0%","29.6%","4.7","","22","85","4","0","102","199","75","57","63","21224"
"Tyler Anderson","LAD","3.3%","26.1%","6.0","","24","121","5","0","99","220","79","71","82","12880"
"Luis Garcia","HOU","9.4%","30.0%","2.6","","18","87","4","0","104","130","114","80","80","23735"
"Mitch Keller","PIT","5.3%","28.3%","4.7","","31","144","6","0","100","81","47","92","93","17594"
"Ty Blach","COL","0.0%","40.7%","","1.0","7","18","0","0","58","","0","72","137","14361"
"Jonathan Hernandez","TEX","5.9%","25.9%","","-2.3","11","53","0","0","112","50","129","98","65","17464"
"Tyler Cyr","OAK","3.3%","27.9%","","1.2","16","52","0","0","68","116","64","86","96","18421"
"Caleb Ferguson","LAD","7.7%","25.6%","","-0.6","10","43","0","0","111","61","94","153","137","19349"
"Jhoan Duran","MIN","4.8%","32.2%","","3.2","13","37","0","2","35","157","0","115","149","21029"
