"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Will Smith","HOU","0.0%","32.9%","","2.8","12","40","0","0","56","433","0","85","129","8048"
"Matt Brash","SEA","0.0%","34.4%","","1.9","16","45","0","0","84","83","0","100","100","25756"
"Griffin Jax","MIN","3.1%","27.9%","","0.7","8","44","0","0","117","96","81","85","79","20253"
"Tim Mayza","TOR","3.7%","26.9%","","1.3","11","41","0","2","72","132","81","77","80","15042"
"Anibal Sanchez","WSN","7.4%","22.3%","2.3","","13","78","4","0","137","48","45","100","78","3284"
"Wade Miley","CHC","10.5%","29.8%","0.7","0.3","16","80","4","0","108","98","136","96","82","8779"
"Rich Hill","BOS","10.2%","29.5%","5.5","","33","130","6","0","96","149","109","107","120","4806"
"Jaime Barria","LAA","11.1%","21.5%","","-1.4","6","35","0","0","108","217","218","125","126","18356"
"Johan Oviedo","PIT","7.4%","25.6%","4.9","","24","120","6","0","113","68","30","96","86","22487"
"Simeon Woods Richardson","MIN","13.3%","19.8%","-0.3","","3","20","1","0","124","54","167","80","50","24494"
"Adrian Morejon","SDP","13.8%","23.9%","","0.8","6","38","0","0","133","73","82","70","61","20039"
"Michael Fulmer","MIN","2.9%","22.2%","","-2.1","6","47","0","1","151","43","84","144","127","13218"
"Wandy Peralta","NYY","0.0%","28.6%","","1.9","5","20","0","1","42","","0","80","116","14295"
"Framber Valdez","HOU","9.3%","30.3%","10.4","","44","162","6","0","58","144","45","107","123","17295"
"Taijuan Walker","NYM","6.3%","29.0%","6.4","","39","142","6","0","76","204","118","88","102","11836"
"Duane Underwood Jr.","PIT","0.0%","29.8%","0.4","3.5","15","57","1","1","69","137","0","95","102","14677"
"Huascar Brazoban","MIA","6.3%","29.1%","","-0.2","14","55","0","0","103","64","66","120","111","6107"
"Luis Cessa","CIN","7.2%","26.2%","4.1","","23","131","6","0","116","84","102","86","77","13345"
"Cole Sands","MIN","0.0%","25.0%","","-1.0","2","37","0","1","211","12","0","131","80","21461"
"Amir Garrett","KCR","5.9%","31.4%","","1.4","10","32","0","0","103","90","0","98","103","14375"
"Jameson Taillon","NYY","8.9%","31.8%","6.4","","31","128","5","0","95","187","79","86","100","11674"
"Freddy Peralta","MIL","4.5%","26.0%","3.2","-1.1","13","39","3","0","80","119","84","89","98","18679"
"Tyler Alexander","DET","13.3%","23.6%","0.8","","22","115","5","0","119","88","146","92","85","17735"
"Louie Varland","MIN","6.4%","26.3%","2.0","","21","106","5","0","105","126","129","98","104","27691"
"John Brebbia","SFG","2.4%","23.4%","2.5","-2.1","7","53","8","0","134","86","70","121","117","12777"
"Casey Lawrence","TOR","25.0%","23.9%","","0.4","2","11","0","0","117","72","0","137","131","11121"
"Kyle Muller","ATL","12.5%","27.9%","0.3","","4","21","1","0","91","147","175","117","114","20167"
"Cristofer Ogando","TBR","0.0%","37.5%","","0.3","1","9","0","0","122","","0","103","149","20667"
"Dominic Leone","SFG","12.5%","26.3%","","-0.8","2","11","0","0","162","73","350","134","98","13763"
"Tanner Scott","MIA","0.0%","32.5%","","1.0","15","48","0","1","90","61","0","176","179","17586"
"James Karinchak","CLE","9.7%","31.3%","","1.5","21","60","0","3","97","95","119","103","96","20151"
"Norge Ruiz","OAK","7.9%","21.9%","","-2.6","8","53","0","0","132","58","215","123","100","19580"
"Reiver Sanmartin","CIN","7.1%","28.3%","","0.1","11","47","0","0","114","50","70","94","63","19754"
"Dauri Moreta","CIN","10.0%","31.2%","","0.2","6","18","0","0","94","110","175","84","76","21101"
"Sam Moll","OAK","0.0%","21.3%","","-0.6","1","12","0","0","189","18","0","137","87","14874"
"Jose Cuas","KCR","0.0%","26.2%","","-0.9","3","26","0","0","202","27","0","154","109","17701"
"Eduardo Rodriguez","DET","5.9%","25.8%","0.9","","26","155","6","0","100","104","136","97","93","13164"
"Javier Assad","CHC","6.1%","25.2%","2.0","","24","120","6","0","120","63","118","110","92","21741"
"Chris Bassitt","NYM","13.3%","26.1%","1.6","","24","110","5","0","102","98","119","89","87","12304"
"Dylan Coleman","KCR","0.0%","31.1%","","2.9","12","46","0","0","85","144","0","85","108","22276"
"Buck Farmer","CIN","3.7%","27.8%","","2.9","13","47","0","1","100","68","0","97","89","14814"
"Zack Kelly","BOS","9.7%","24.3%","","-0.9","6","39","0","0","133","108","186","98","84","20349"
"Giovanny Gallegos","STL","10.5%","37.4%","","1.3","13","37","0","1","89","95","91","87","76","14986"
"Phil Bickford","LAD","18.2%","32.3%","","-0.1","12","34","0","0","61","","272","52","54","18519"
"Paul Sewald","SEA","17.4%","26.6%","","-2.4","10","36","0","3","98","181","279","80","70","13892"
"Diego Castillo","SEA","8.3%","31.5%","","-0.8","8","34","0","1","97","144","186","62","48","17496"
"Austin Voth","BAL","11.7%","27.5%","0.0","-0.5","17","85","4","0","127","102","167","112","112","15047"
"Bryse Wilson","PIT","6.9%","24.2%","1.6","-1.7","24","139","4","0","118","88","122","91","86","19990"
"Bryan Garcia","DET","5.6%","34.8%","1.5","","6","27","1","0","101","108","0","84","97","19457"
"Jordan Hicks","STL","4.8%","29.6%","","-0.4","5","28","0","0","96","92","122","106","103","19618"
"Calvin Faucher","TBR","5.0%","27.4%","","-0.2","5","27","0","1","103","181","125","72","73","20116"
"Glenn Otto","TEX","9.4%","25.2%","-0.1","","25","130","6","0","109","129","189","95","90","21366"
"Robert Stephenson","PIT","11.5%","39.4%","","1.4","15","42","0","0","58","550","148","71","100","13594"
"Luis Garcia","SDP","3.2%","30.7%","","2.5","11","46","0","0","99","134","0","85","99","6984"
"Zack Weiss","LAA","8.3%","31.7%","","-0.2","16","48","0","0","101","83","152","94","63","15444"
"Yusei Kikuchi","TOR","8.3%","36.8%","","1.0","18","46","0","1","47","217","152","87","111","20633"
"Carlos Hernandez","KCR","0.0%","25.6%","","1.6","9","48","0","0","124","54","0","116","106","22713"
"Chad Smith","COL","12.0%","29.7%","","0.8","15","48","0","0","88","69","74","121","114","20190"
"Kyle Bradish","BAL","6.7%","24.9%","4.3","","27","131","6","0","103","70","55","96","84","24586"
"Cole Sulser","MIA","0.0%","26.7%","","-0.8","4","18","0","0","118","49","188","126","103","15256"
"Tommy Hunter","NYM","8.3%","27.1%","","-0.6","4","18","0","0","117","73","188","90","62","1157"
"Manuel Rodriguez","CHC","4.2%","20.8%","","-2.9","6","38","0","3","138","27","94","126","74","20794"
"Pablo Lopez","MIA","7.0%","24.7%","6.1","","25","119","5","0","95","131","82","86","95","17085"
"Garrett Hill","DET","3.4%","29.5%","","-0.5","12","49","0","0","132","62","78","120","100","25097"
"Ranger Suarez","PHI","8.7%","24.8%","0.3","","19","120","5","0","109","77","148","105","91","17277"
"Luis Castillo","SEA","12.3%","28.7%","5.6","","34","116","5","0","80","154","91","92","105","15689"
"Adrian Houser","MIL","5.1%","24.4%","1.1","","4","75","4","0","168","15","0","106","75","12718"
"Alex Cobb","SFG","3.0%","29.3%","7.7","","29","138","6","0","81","118","26","116","129","6562"
"Brock Burke","TEX","9.4%","27.9%","","-1.4","15","52","0","0","90","135","198","101","108","17968"
"Reid Detmers","LAA","8.7%","27.9%","6.3","","17","93","4","0","117","123","0","103","111","27468"
"Carlos Carrasco","NYM","4.5%","26.2%","4.7","","26","99","5","0","75","159","71","102","118","6632"
"Jack Flaherty","STL","6.1%","25.8%","-0.4","0.4","21","102","4","0","110","64","106","116","103","17479"
"Erich Uelmen","CHC","4.2%","30.1%","","0.6","7","37","0","1","116","51","0","113","100","20323"
"Luke Weaver","KCR","9.7%","22.4%","","1.5","11","45","0","0","87","397","0","108","146","16918"
"Edward Cabrera","MIA","11.7%","30.4%","-2.2","","20","92","5","0","113","92","180","86","75","21690"
"Andrew Wantz","LAA","10.7%","32.5%","","-0.5","17","51","0","0","95","102","203","104","98","24933"
"George Kirby","SEA","10.0%","23.9%","5.7","","24","102","5","0","94","108","34","108","121","25436"
"Jacob deGrom","NYM","11.9%","34.8%","5.6","","47","111","5","0","39","345","175","78","110","10954"
"Miguel Castro","NYY","14.3%","29.0%","","-0.2","1","10","0","0","168","18","0","160","100","15684"
"Tony Gonsolin","LAD","0.0%","30.0%","1.0","","3","9","1","0","23","","0","117","171","19388"
"Michael Plassmeyer","PHI","11.1%","31.1%","","0.3","6","25","0","0","60","220","136","130","161","23191"
"Michael Grove","LAD","7.8%","26.8%","-2.1","","17","86","4","0","115","125","245","98","83","23221"
"Gerrit Cole","NYY","17.9%","34.9%","0.6","","53","141","6","0","61","191","232","82","87","13125"
"Jon Gray","TEX","4.4%","25.8%","0.1","","18","93","5","0","102","130","174","77","72","14916"
"Luis Ortiz","PIT","2.4%","31.6%","3.0","","17","69","4","0","111","62","51","88","58","27646"
"Nick Martinez","SDP","6.7%","30.4%","","-0.1","13","48","0","0","86","95","136","85","73","12730"
"Dennis Santana","TEX","6.5%","27.8%","","-0.3","11","50","0","0","115","66","70","100","93","17878"
"Justin Bruihl","LAD","6.7%","23.4%","","-1.6","1","17","0","1","139","37","204","98","73","23779"
"Taylor Clarke","KCR","0.0%","24.2%","","1.0","4","8","0","1","-5","","0","80","174","17611"
"Kevin Gausman","TOR","9.2%","32.0%","4.6","","35","116","5","0","62","253","151","98","118","14107"
"Trevor Williams","NYM","6.8%","24.5%","","1.8","20","68","0","0","76","367","104","105","139","16977"
"Dakota Hudson","STL","3.9%","22.0%","2.1","0.0","6","62","2","0","124","44","0","132","121","19206"
"Domingo German","NYY","7.9%","33.0%","0.3","0.3","26","97","5","0","93","117","179","99","96","17149"
"Brent Suter","MIL","8.8%","32.4%","","-1.9","11","49","0","0","95","134","210","94","88","13942"
"Collin Wiles","OAK","6.9%","27.9%","","0.2","9","41","0","0","78","163","86","107","125","15106"
"Erik Swanson","SEA","9.1%","32.3%","","2.6","14","39","0","0","71","169","86","99","133","16587"
"Reyes Moronta","ARI","3.3%","29.2%","","1.0","8","45","0","2","140","42","0","129","103","14966"
"Mike Baumann","BAL","6.9%","18.9%","0.4","0.6","12","74","3","0","100","144","96","115","125","20206"
"Jose Suarez","LAA","8.1%","27.7%","4.3","","19","96","4","0","83","343","109","97","113","19911"
"Trevor Gott","MIL","7.7%","21.8%","","-1.8","4","32","0","0","119","73","213","92","71","15046"
"Trevor Rogers","MIA","12.1%","29.3%","1.5","","18","54","3","0","58","220","184","88","103","22286"
"Sean Hjelle","SFG","7.0%","28.9%","","-0.5","19","83","0","0","75","116","129","119","127","21481"
"Chase Anderson","CIN","4.0%","23.0%","3.2","-0.1","17","79","5","0","110","69","43","86","77","6895"
"Connor Brogdon","PHI","11.8%","30.0%","","0.1","13","52","0","1","99","119","144","117","118","21205"
"Jalen Beeks","TBR","6.7%","21.2%","","-0.9","5","23","0","0","101","60","148","85","50","17192"
"Richard Bleier","MIA","6.3%","26.4%","","2.9","5","37","0","1","87","","0","75","96","7803"
"Enyel De Los Santos","CLE","9.5%","37.5%","","3.3","14","39","0","0","63","126","0","94","116","18403"
"Marco Gonzales","SEA","9.2%","24.9%","-0.6","","20","123","5","0","116","144","199","98","92","15467"
"Aaron Sanchez","MIN","5.6%","23.2%","","0.4","7","45","0","0","98","253","76","94","110","11490"
"Tyler Matzek","ATL","3.7%","21.4%","","-1.1","11","50","0","0","153","34","74","128","66","10058"
"Tommy Nance","MIA","9.5%","24.0%","","-1.7","8","33","0","0","110","98","223","107","90","19178"
"Justin Topa","MIL","3.7%","24.8%","","0.3","4","35","0","0","107","37","0","139","114","15145"
"Eric Lauer","MIL","2.6%","32.0%","3.1","","23","70","4","0","76","105","100","96","93","19316"
"Mason Thompson","WSN","4.8%","26.3%","","-0.9","7","55","0","0","126","43","129","117","94","21850"
"Andrew Nardi","MIA","22.7%","31.6%","","-3.7","16","46","0","0","109","73","363","165","133","25942"
"Matt Bush","MIL","13.0%","30.6%","-0.3","-1.9","10","36","1","0","97","122","272","78","51","1246"
"Brooks Raley","TBR","3.8%","27.1%","","-2.5","6","36","0","0","108","54","186","89","58","10061"
"Penn Murfee","SEA","6.3%","34.2%","","0.5","15","51","0","0","87","135","136","97","105","25174"
"Dillon Tate","BAL","2.8%","27.5%","","-2.8","8","51","0","2","117","48","136","91","62","17796"
"Dustin May","LAD","2.4%","27.0%","1.6","","11","61","3","0","111","67","58","101","92","19716"
"Roansy Contreras","PIT","13.2%","29.8%","2.8","","16","90","5","0","119","98","117","89","79","22810"
"Josh Fleming","TBR","9.7%","28.6%","-1.2","0.1","5","37","1","0","80","181","193","129","132","20418"
"Shane McClanahan","TBR","8.2%","23.3%","-2.3","","12","81","4","0","131","54","176","113","92","21483"
"Johnny Cueto","CHW","10.9%","22.6%","5.1","","20","129","5","0","120","120","57","117","123","6893"
"Ian Gibaut","CIN","3.2%","26.0%","","1.9","11","49","0","1","108","58","0","151","144","17871"
"Jose Berrios","TOR","2.3%","25.7%","4.9","","20","119","5","0","122","80","33","128","124","14168"
"Kyle Wright","ATL","5.3%","27.7%","2.2","","24","112","5","0","87","88","95","107","103","19665"
"Robbie Ray","SEA","9.5%","21.6%","-2.3","","29","123","5","0","111","116","245","123","115","11486"
"Austin Gomber","COL","2.2%","27.3%","-0.1","1.7","11","57","1","0","95","403","119","97","112","16561"
"Dane Dunning","TEX","15.0%","27.8%","-0.5","","18","64","3","0","78","108","218","115","116","19409"
"Madison Bumgarner","ARI","10.7%","21.0%","-2.6","","9","69","3","0","132","82","240","87","67","5524"
"Jordan Montgomery","STL","8.9%","28.4%","2.1","","29","115","5","0","84","152","151","101","106","16511"
"Jose Ruiz","CHW","11.5%","23.7%","","-0.8","12","45","0","0","120","62","167","120","87","14552"
"Brusdar Graterol","LAD","0.0%","25.7%","0.4","1.4","4","21","1","1","53","","0","109","141","20367"
"Jordan Lyles","BAL","12.5%","28.0%","-0.8","","21","107","5","0","94","190","188","84","85","7593"
"Cole Ragans","TEX","5.9%","24.4%","4.2","","18","92","5","0","96","108","77","114","122","21846"
"Ken Waldichuk","OAK","14.0%","25.6%","1.9","","27","123","6","0","110","163","139","88","95","27681"
"Connor Overton","CIN","0.0%","22.7%","","0.1","4","35","0","0","143","37","98","94","66","18376"
"Matt Strahm","BOS","7.7%","29.2%","","-2.9","12","48","0","1","132","62","167","128","102","13799"
"Jimmy Lambert","CHW","11.5%","26.4%","","-1.8","11","45","0","0","145","50","167","120","73","19541"
"Pierce Johnson","SDP","0.0%","31.0%","","0.6","10","36","0","0","85","92","98","113","114","13435"
"Jesse Chavez","ATL","8.8%","28.4%","","-0.1","10","47","0","0","96","122","140","94","96","5448"
"Jake Fishman","MIA","0.0%","22.1%","","1.4","5","28","0","0","74","","0","82","109","20060"
"German Marquez","COL","7.1%","26.7%","1.7","","26","123","5","0","109","95","146","109","103","15038"
"Nick Pivetta","BOS","12.9%","23.4%","-3.1","","30","132","6","0","115","64","199","131","107","15454"
"Zach Thompson","PIT","9.5%","30.0%","","1.6","11","57","0","0","99","134","0","114","131","16094"
"Mike Clevinger","SDP","11.8%","26.3%","-3.3","","14","109","5","0","137","86","223","97","83","12808"
"Jakob Junis","SFG","4.6%","26.7%","0.8","2.8","22","117","2","0","93","115","32","127","131","13619"
"Nabil Crismatt","SDP","10.5%","29.3%","","-1.3","5","25","0","0","91","183","258","74","60","17732"
"Taylor Hearn","TEX","8.9%","24.9%","","1.5","9","57","0","0","114","108","66","113","111","18325"
"Kyle Finnegan","WSN","5.6%","27.4%","","0.8","14","53","0","3","73","171","129","93","101","15009"
"Derek Law","CIN","10.0%","28.2%","","-0.5","12","58","0","0","98","88","129","123","117","13133"
"Jared Koenig","OAK","2.8%","23.0%","","1.4","8","45","0","0","86","","0","87","116","27517"
"Jorge Lopez","MIN","8.8%","29.2%","","-1.8","9","54","0","0","145","33","76","152","106","14527"
"Josiah Gray","WSN","7.2%","25.1%","-1.8","","12","92","4","0","134","49","161","115","90","24580"
"Ryan Feltner","COL","6.3%","22.5%","2.5","","19","110","5","0","127","63","98","113","98","21446"
"Dinelson Lamet","COL","5.0%","33.3%","","2.5","16","44","0","0","81","84","0","126","137","17186"
"Keegan Akin","BAL","3.7%","27.4%","","0.6","11","42","0","0","80","132","90","137","161","19362"
"Merrill Kelly","ARI","15.8%","25.7%","-4.2","","35","149","6","0","103","99","252","101","84","11156"
"Seth Lugo","NYM","15.2%","33.8%","","-1.7","15","51","0","0","84","550","265","76","83","12447"
"Kaleb Ort","BOS","13.0%","31.0%","","-4.0","9","37","0","1","128","65","327","135","87","20061"
"Zach Davies","ARI","14.3%","26.7%","-4.4","","17","100","5","0","132","48","230","136","96","13183"
"Chase De Jong","PIT","13.3%","26.6%","","-4.5","12","66","0","0","145","63","239","143","117","15036"
"Hanser Alberto","LAD","9.1%","8.6%","","-0.4","0","11","0","0","188","","272","52","34","11902"
"Tylor Megill","NYM","15.0%","25.0%","","-0.3","4","26","0","0","137","73","136","117","108","21318"
"Rob Zastryzny","LAA","0.0%","21.6%","","0.4","2","12","0","0","121","72","0","80","78","15094"
"Kris Bubic","KCR","5.7%","25.2%","3.6","","26","109","5","0","97","94","71","145","159","21455"
"Michael Wacha","BOS","18.8%","25.7%","-2.5","","21","112","5","0","109","152","254","115","113","14078"
"Jon Heasley","KCR","9.0%","20.0%","0.5","","13","114","5","0","145","47","95","109","93","22224"
"Drew Hutchison","DET","9.2%","22.8%","-4.4","","15","111","5","0","129","68","251","137","109","10732"
"Jose Quijada","LAA","20.0%","28.4%","","-4.1","17","49","0","0","99","102","287","96","66","19200"
"Charlie Morton","ATL","10.8%","31.7%","-2.7","","30","118","5","0","103","100","220","117","107","4676"
"Kirby Snead","OAK","3.0%","29.2%","","1.2","6","41","0","1","118","217","0","129","137","19179"
"Cory Abbott","WSN","13.8%","25.0%","-1.7","-0.7","21","101","5","0","140","64","230","136","110","20277"
"Luis Perdomo","MIL","13.5%","30.7%","","-1.4","9","48","0","0","88","330","216","97","101","14682"
"Joel Payamps","OAK","5.3%","26.4%","","-1.2","5","24","0","0","80","","295","99","103","14332"
"Yimi Garcia","TOR","11.4%","26.6%","","0.5","13","52","0","0","84","235","148","127","148","12095"
"Jake Reed","BAL","5.3%","30.1%","","1.2","5","27","0","0","121","181","0","113","129","16209"
"Jake Odorizzi","ATL","10.8%","23.8%","2.0","","21","97","5","0","129","70","117","130","116","6397"
"Shelby Miller","SFG","0.0%","36.2%","","3.5","14","30","0","0","43","171","0","101","158","10197"
"Corey Kluber","TBR","7.2%","27.3%","4.5","","17","104","5","0","110","205","75","143","151","2429"
"Tommy Henry","ARI","14.9%","26.1%","-5.9","","13","66","3","0","118","95","373","107","77","26285"
"Bryan Shaw","CLE","7.7%","23.4%","","0.4","8","37","0","0","107","96","100","125","126","8110"
"JoJo Romero","STL","9.5%","30.3%","","-2.8","10","39","0","0","108","46","196","150","108","19574"
"Patrick Corbin","WSN","13.4%","26.6%","1.9","","10","82","4","0","112","122","91","130","132","9323"
"Davis Martin","CHW","9.8%","25.7%","2.8","","18","84","4","0","102","163","130","111","120","21448"
"Will Vest","DET","11.8%","24.6%","-1.7","-1.5","9","49","2","0","122","81","259","157","135","19769"
"Manny Banuelos","PIT","3.4%","27.9%","","0.2","12","49","0","0","115","73","74","107","98","5365"
"Daniel Lynch","KCR","9.9%","23.3%","-1.2","","21","109","5","0","88","126","215","137","130","21537"
"Mike Minor","CIN","3.8%","24.5%","-2.4","","9","70","3","0","143","37","239","177","128","10021"
"Jake Bird","COL","7.0%","28.4%","","-1.1","12","60","0","0","94","110","179","109","103","21267"
"Josh Winder","MIN","16.4%","23.4%","-1.1","","18","98","5","0","129","163","193","114","113","24606"
"Elieser Hernandez","MIA","7.7%","22.4%","1.6","","3","16","1","0","123","","0","78","105","16933"
"Cole Irvin","OAK","8.8%","26.4%","-2.1","","24","150","6","0","125","96","176","127","121","19244"
"A.J. Puk","OAK","12.1%","31.0%","","-3.5","11","51","0","0","126","79","235","127","105","19343"
"Hector Neris","HOU","4.2%","28.4%","","1.3","11","37","0","0","56","199","104","120","136","11804"
"Carson Kelly","ARI","20.0%","11.1%","","-0.7","0","5","0","0","160","","612","59","0","13620"
"Jharel Cotton","SFG","4.0%","26.4%","","1.5","8","37","0","0","107","73","0","147","151","13654"
"Trevor Kelley","MIL","11.1%","28.2%","","0.2","2","12","0","0","96","73","0","117","114","18454"
"Luis Frias","ARI","0.0%","20.8%","","-3.2","5","30","0","0","191","23","153","220","128","21997"
"Nick Nelson","PHI","4.0%","22.1%","","1.1","8","38","0","1","123","59","0","163","151","20153"
"Taylor Rogers","MIL","14.3%","39.4%","","-2.5","16","45","0","1","88","98","245","117","114","13449"
"Adam Wainwright","STL","3.2%","23.4%","1.3","","11","114","5","0","138","45","69","145","124","2233"
"Miguel Yajure","PIT","4.5%","29.2%","","-0.6","11","37","0","1","84","101","188","108","103","21111"
"Jason Foley","DET","6.5%","23.0%","","1.6","9","41","0","0","74","325","96","147","163","19531"
"Mike Mayers","LAA","12.2%","24.2%","1.5","-5.5","9","54","1","0","106","81","271","110","85","15451"
"Jose Urquidy","HOU","10.3%","25.7%","-0.2","-2.8","17","82","3","0","106","102","274","122","107","18413"
"Sam Selman","OAK","7.7%","25.0%","","-0.9","2","17","0","0","186","72","228","109","87","13397"
"Julian Merryweather","TOR","4.5%","29.6%","0.6","-0.3","6","32","1","0","136","54","114","120","100","16703"
"Matthew Festa","SEA","10.7%","29.0%","","-3.0","12","46","0","0","92","72","304","109","73","19330"
"JP Sears","OAK","13.6%","26.2%","-3.3","0.9","20","96","4","0","120","80","202","135","120","23429"
"Tim Hill","SDP","3.7%","21.9%","","-1.4","3","37","0","0","162","22","98","103","66","16814"
"Kendall Graveman","CHW","0.0%","26.8%","","1.4","9","43","0","0","97","81","0","153","149","15514"
"Spenser Watkins","BAL","0.0%","21.7%","0.6","0.4","7","50","1","0","106","51","0","165","156","17489"
"Jarlin Garcia","SFG","11.6%","23.9%","","-2.1","10","57","0","1","128","122","188","108","103","18282"
"Kevin Herget","TBR","15.4%","27.9%","","1.3","4","30","0","0","120","","0","103","121","15369"
"Raynel Espinal","CIN","13.3%","30.3%","","0.0","5","21","0","0","88","183","175","117","122","19516"
"Joe Jimenez","DET","6.7%","37.7%","","0.6","6","21","0","0","61","","179","120","149","15761"
"Gavin Hollowell","COL","5.0%","27.3%","","0.1","8","32","0","0","127","73","117","123","108","25427"
"Steven Okert","MIA","0.0%","26.2%","","-1.8","5","26","0","0","191","31","0","151","79","13580"
"Dylan Bundy","MIN","14.0%","26.2%","-5.1","","10","99","5","0","141","120","309","129","107","12917"
"Justin Lawrence","COL","4.3%","24.7%","","2.2","11","62","0","1","90","101","60","120","119","17639"
"Tucker Davidson","LAA","5.1%","24.2%","-0.6","","8","54","3","0","140","48","148","134","104","19871"
"Kyle Gibson","PHI","12.1%","28.0%","1.5","","28","125","5","0","81","171","181","139","145","10123"
"Tyler Wells","BAL","7.4%","28.7%","-0.8","","8","40","3","0","118","58","186","115","84","20000"
"Frankie Montas","NYY","8.8%","21.6%","-0.7","","6","49","2","0","189","27","93","186","127","14309"
"Jason Alexander","MIL","16.7%","28.7%","-2.8","","9","42","2","0","90","165","363","148","145","19666"
"Silvino Bracho","ATL","22.2%","26.8%","","-1.1","4","14","0","0","96","147","490","94","49","15051"
"Felix Bautista","BAL","5.9%","26.1%","","1.9","10","33","0","4","111","60","0","156","144","20666"
"Sean Poppen","ARI","20.0%","27.5%","","-1.9","3","15","0","0","155","110","490","94","43","19583"
"Chad Kuhl","COL","11.0%","27.7%","0.5","","23","116","5","0","106","84","168","141","129","14975"
"Tyson Miller","TEX","4.2%","24.0%","-0.8","0.7","8","37","1","0","110","72","109","156","152","19976"
"Paolo Espino","WSN","10.2%","30.7%","-3.5","0.7","17","81","4","0","98","125","283","140","129","8246"
"Joel Kuhnel","CIN","13.6%","26.8%","","-0.3","13","60","0","0","97","159","188","120","117","19995"
"Brad Hand","PHI","4.8%","28.0%","","-0.6","3","25","0","0","95","","188","180","154","9111"
"David Peterson","NYM","12.0%","27.5%","-0.6","0.6","16","48","2","0","84","84","153","125","119","20302"
"JT Brubaker","PIT","11.9%","28.5%","-1.7","","10","58","3","0","124","73","210","147","123","17578"
"Mitch White","TOR","2.7%","22.4%","0.7","0.8","11","94","3","0","131","50","42","140","124","19225"
"Collin Snider","KCR","12.0%","21.5%","","-0.9","6","36","0","0","115","54","114","163","145","23307"
"Craig Stammen","SDP","11.1%","32.0%","-1.1","-1.1","8","40","1","0","106","59","294","159","128","7274"
"Chris Archer","MIN","0.0%","30.0%","-1.2","","1","9","1","0","168","36","418","120","58","6345"
"Christian Bethancourt","TBR","20.0%","33.3%","","-0.5","0","5","0","0","231","","836","160","87","10028"
"Wil Myers","SDP","25.0%","25.0%","","-0.7","0","4","0","0","151","","816","78","0","10047"
"Luke Farrell","CIN","7.7%","27.1%","","-0.6","5","22","0","0","127","46","204","195","143","15101"
"Dusten Knight","TBR","33.3%","28.6%","","-1.4","3","13","0","0","116","108","557","106","50","16537"
"Tyler Beede","PIT","7.1%","24.6%","","-1.0","1","16","0","0","160","37","272","208","158","16981"
"Justus Sheffield","SEA","5.3%","19.2%","-1.2","","4","28","1","0","153","36","167","176","116","17285"
"Cristopher Sanchez","PHI","0.0%","25.2%","","0.5","3","31","0","1","115","55","0","169","145","20778"
"Alejo Lopez","CIN","25.0%","28.6%","","-0.6","0","4","0","0","188","","816","78","0","21127"
"Matthew Liberatore","STL","0.0%","21.1%","0.0","","3","23","1","0","123","27","0","156","137","22294"
"Josh Winckowski","BOS","9.1%","21.4%","","0.3","3","15","0","0","91","108","0","186","190","22387"
"Jake Diekman","CHW","6.9%","30.0%","","-0.3","10","43","0","0","98","90","186","133","116","5003"
"Eric Stout","PIT","18.8%","25.9%","","-1.5","5","27","0","0","176","31","163","188","114","16873"
"Adrian Martinez","OAK","12.8%","26.2%","-3.3","","24","111","5","0","95","108","258","155","142","21023"
"Erick Fedde","WSN","9.5%","22.0%","-3.3","","12","104","5","0","126","55","237","170","136","17425"
"Joe Barlow","TEX","10.0%","26.2%","","-1.1","4","19","0","0","159","36","228","152","78","22296"
"Trevor Megill","MIN","4.8%","25.7%","","1.6","8","32","0","0","92","96","0","176","183","17722"
"Tyler Danish","BOS","10.3%","24.2%","","-0.9","7","39","0","0","101","84","209","160","142","15126"
"Zack Littell","SFG","5.6%","26.0%","","-0.8","5","26","0","0","115","61","153","161","141","15823"
"Connor Seabold","BOS","8.0%","24.5%","0.3","","6","35","2","0","155","72","119","160","145","19695"
"Justin Dunn","CIN","27.6%","25.0%","-5.2","","2","39","2","0","214","10","426","173","82","19268"
"Bryan Hoeing","MIA","17.9%","23.6%","","-3.4","4","36","0","0","120","37","319","133","82","26304"
"Joey Krehbiel","BAL","11.1%","24.2%","","-1.2","7","37","0","0","112","84","218","146","126","13707"
"Colin Poche","TBR","12.0%","27.9%","","0.1","15","44","0","0","78","135","179","137","152","19403"
"Chris Devenski","PHI","12.5%","29.9%","","0.1","3","19","0","0","96","","204","137","137","12763"
"Brett Martin","TEX","6.7%","20.7%","","0.8","4","21","0","0","123","72","0","180","163","17369"
"Seranthony Dominguez","PHI","13.0%","21.5%","","-3.7","7","38","0","0","155","32","233","201","131","19249"
"Trevor Richards","TOR","3.8%","28.2%","1.0","0.7","13","47","3","0","126","59","0","163","148","19309"
"Wil Crowe","PIT","6.1%","22.4%","","-3.6","5","47","0","1","172","20","196","216","133","19800"
"Jose Marte","LAA","25.0%","20.9%","","-2.4","4","20","0","0","292","18","557","293","58","21761"
"Graham Ashcraft","CIN","4.5%","21.6%","-0.9","","7","60","3","0","142","37","136","163","131","27552"
"Sam Coonrod","PHI","0.0%","20.4%","","-0.9","5","27","0","0","139","92","163","156","141","17264"
